Datetime,Open,High,Low,Close,Volume
2025-09-08 07:00:00,38.54,38.56,38.51,38.56,33
2025-09-08 07:02:00,38.541,38.57,38.541,38.56,2
2025-09-08 07:04:00,38.56,38.56,38.52,38.56,185
2025-09-08 07:06:00,38.56,38.58,38.54,38.58,409
2025-09-08 07:08:00,38.56,38.58,38.56,38.58,34
2025-09-08 07:10:00,38.56,38.59,38.55,38.59,16
2025-09-08 07:12:00,38.56,38.59,38.55,38.55,49
2025-09-08 07:14:00,38.59,38.59,38.56,38.56,2831
2025-09-08 07:16:00,38.56,38.57,38.56,38.57,8799
2025-09-08 07:18:00,38.6,38.6,38.56,38.59,10173
2025-09-08 07:20:00,38.6,38.6,38.59,38.59,684
2025-09-08 07:22:00,38.59,38.6,38.58,38.6,195
2025-09-08 07:24:00,38.6,38.6,38.57,38.59,39
2025-09-08 07:26:00,38.6,38.6,38.6,38.6,146
2025-09-08 07:28:00,38.56,38.59,38.56,38.58,956
2025-09-08 07:30:00,38.57,38.57,38.57,38.57,774
2025-09-08 07:32:00,38.56,38.59,38.56,38.59,12982
2025-09-08 07:36:00,38.58,38.6,38.58,38.58,44
2025-09-08 07:38:00,38.58,38.6,38.58,38.6,52
2025-09-08 07:40:00,38.6,38.6,38.57,38.58,549
2025-09-08 07:42:00,38.59,38.59,38.58,38.59,548
2025-09-08 07:44:00,38.6,38.6,38.6,38.6,2
2025-09-08 07:46:00,38.59,38.6,38.59,38.59,51
2025-09-08 07:48:00,38.59,38.59,38.59,38.59,6
2025-09-08 07:50:00,38.59,38.59,38.59,38.59,13
2025-09-08 07:52:00,38.58,38.58,38.58,38.58,1
2025-09-08 07:54:00,38.57,38.57,38.57,38.57,5
2025-09-08 07:58:00,38.56,38.56,38.54,38.56,7
2025-09-08 08:00:00,38.58,38.58,38.53,38.56,1746
2025-09-08 08:02:00,38.56,38.56,38.53,38.53,2840
2025-09-08 08:04:00,38.56,38.57,38.56,38.57,2225
2025-09-08 08:06:00,38.57,38.57,38.57,38.57,100
2025-09-08 08:08:00,38.57,38.57,38.57,38.57,14
2025-09-08 08:10:00,38.58,38.58,38.56,38.56,1161
2025-09-08 08:12:00,38.59,38.59,38.59,38.59,22350
2025-09-08 08:14:00,38.58,38.58,38.58,38.58,1901
2025-09-08 08:20:00,38.59,38.59,38.57,38.58,22
2025-09-08 08:22:00,38.59,38.59,38.59,38.59,2
2025-09-08 08:24:00,38.59,38.59,38.59,38.59,955
2025-09-08 08:30:00,38.58,38.58,38.56,38.57,1260
2025-09-08 08:32:00,38.57,38.58,38.57,38.58,1014
2025-09-08 08:34:00,38.58,38.58,38.58,38.58,1
2025-09-08 08:36:00,38.58,38.58,38.58,38.58,2
2025-09-08 08:38:00,38.59,38.59,38.57,38.57,102
2025-09-08 08:40:00,38.59,38.59,38.57,38.59,304
2025-09-08 08:42:00,38.57,38.59,38.57,38.59,18
2025-09-08 08:44:00,38.59,38.59,38.59,38.59,109
2025-09-08 08:46:00,38.59,38.59,38.59,38.59,2
2025-09-08 08:48:00,38.58,38.58,38.58,38.58,1
2025-09-08 08:50:00,38.6,38.6,38.58,38.59,125
2025-09-08 08:52:00,38.59,38.59,38.59,38.59,10
2025-09-08 08:58:00,38.59,38.59,38.59,38.59,28
2025-09-08 09:00:00,38.57,38.59,38.57,38.59,2
2025-09-08 09:02:00,38.59,38.59,38.59,38.59,6
2025-09-08 09:04:00,38.57,38.58,38.57,38.58,205
2025-09-08 09:06:00,38.58,38.58,38.58,38.58,3
2025-09-08 09:08:00,38.57,38.57,38.57,38.57,2
2025-09-08 09:10:00,38.59,38.59,38.56,38.59,10
2025-09-08 09:12:00,38.59,38.59,38.59,38.59,73
2025-09-08 09:14:00,38.59,38.59,38.57,38.57,192
2025-09-08 09:16:00,38.59,38.6,38.57,38.6,524
2025-09-08 09:18:00,38.59,38.61,38.59,38.61,1254
2025-09-08 09:20:00,38.58,38.58,38.58,38.58,446
2025-09-08 09:22:00,38.61,38.61,38.61,38.61,77
2025-09-08 09:24:00,38.59,38.61,38.59,38.61,525
2025-09-08 09:26:00,38.6,38.6,38.6,38.6,1
2025-09-08 09:28:00,38.61,38.61,38.61,38.61,107
2025-09-08 09:30:00,38.61,38.61,38.61,38.61,31
2025-09-08 09:32:00,38.61,38.61,38.61,38.61,3
2025-09-08 09:38:00,38.62,38.62,38.62,38.62,2
2025-09-08 09:40:00,38.61,38.61,38.61,38.61,152
2025-09-08 09:42:00,38.63,38.63,38.63,38.63,106
2025-09-08 09:44:00,38.64,38.64,38.63,38.63,23
2025-09-08 09:46:00,38.63,38.63,38.63,38.63,22
2025-09-08 09:48:00,38.64,38.64,38.64,38.64,2512
2025-09-08 09:50:00,38.62,38.62,38.62,38.62,3
2025-09-08 09:52:00,38.62,38.65,38.62,38.62,152
2025-09-08 09:54:00,38.66,38.66,38.66,38.66,34008
2025-09-08 09:56:00,38.66,38.66,38.62,38.62,9874
2025-09-08 09:58:00,38.64,38.64,38.64,38.64,172
2025-09-08 10:00:00,38.64,38.64,38.64,38.64,0
2025-09-08 10:02:00,38.65,38.65,38.65,38.65,1
2025-09-08 10:04:00,38.62,38.62,38.62,38.62,15
2025-09-08 10:06:00,38.65,38.65,38.65,38.65,25
2025-09-08 10:08:00,38.66,38.66,38.66,38.66,34
2025-09-08 10:10:00,38.66,38.66,38.66,38.66,1
2025-09-08 10:12:00,38.66,38.67,38.66,38.67,27
2025-09-08 10:14:00,38.66,38.66,38.66,38.66,18
2025-09-08 10:16:00,38.66,38.67,38.66,38.67,116
2025-09-08 10:18:00,38.64,38.64,38.64,38.64,40
2025-09-08 10:22:00,38.65,38.65,38.65,38.65,536
2025-09-08 10:24:00,38.68,38.68,38.65,38.67,7
2025-09-08 10:30:00,38.64,38.64,38.64,38.64,3
2025-09-08 10:32:00,38.68,38.68,38.68,38.68,2
2025-09-08 10:34:00,38.67,38.67,38.66,38.66,13
2025-09-08 10:38:00,38.68,38.68,38.68,38.68,2
2025-09-08 10:40:00,38.66,38.66,38.66,38.66,80
2025-09-08 10:42:00,38.68,38.68,38.68,38.68,40
2025-09-08 10:44:00,38.68,38.69,38.68,38.69,28
2025-09-08 10:46:00,38.68,38.68,38.67,38.67,16
2025-09-08 10:48:00,38.68,38.68,38.68,38.68,3
2025-09-08 10:50:00,38.68,38.68,38.68,38.68,6
2025-09-08 10:52:00,38.68,38.68,38.67,38.67,20
2025-09-08 10:54:00,38.65,38.65,38.65,38.65,16
2025-09-08 10:56:00,38.66,38.66,38.66,38.66,1
2025-09-08 10:58:00,38.64,38.66,38.64,38.66,22
2025-09-08 11:00:00,38.66,38.66,38.66,38.66,2
2025-09-08 11:02:00,38.66,38.66,38.65,38.65,433
2025-09-08 11:04:00,38.64,38.65,38.64,38.64,241
2025-09-08 11:08:00,38.65,38.65,38.65,38.65,208
2025-09-08 11:10:00,38.66,38.66,38.66,38.66,334
2025-09-08 11:16:00,38.659,38.67,38.659,38.67,2856
2025-09-08 11:18:00,38.65,38.65,38.65,38.65,10
2025-09-08 11:24:00,38.64,38.64,38.64,38.64,1
2025-09-08 11:26:00,38.64,38.64,38.64,38.64,101
