dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,732.68,732.68,693.28,693.58,1004,693.56
251,7,693.55,693.71,693.38,693.53,151,693.58
251,7,693.48,693.82,693.48,693.78,245,693.60
251,7,693.84,693.84,693.70,693.70,4,693.62
251,7,693.81,693.82,693.32,693.32,478,693.64
251,7,693.48,693.97,693.32,693.48,545,693.65
251,7,693.48,693.97,693.32,693.45,65,693.67
251,7,693.89,693.89,693.41,693.60,38,693.69
251,7,693.76,693.76,693.32,693.32,5,693.71
251,7,693.94,693.96,693.32,693.48,280,693.72
251,7,693.75,693.92,693.32,693.45,113,693.74
251,7,693.77,693.87,693.32,693.72,20,693.76
251,7,693.69,693.84,693.32,693.84,45,693.78
251,7,693.75,693.92,693.55,693.55,4,693.79
251,7,693.56,693.87,693.48,693.76,227,693.81
251,7,693.83,693.85,693.48,693.50,163,693.83
251,7,693.84,693.97,693.57,693.77,10,693.85
251,7,693.80,693.97,693.69,693.82,23,693.87
251,7,693.80,693.91,693.47,693.80,5571,693.88
251,7,693.81,693.92,693.74,693.82,51,693.90
251,7,693.89,693.99,693.83,693.88,9,693.92
251,7,693.90,694.11,693.90,694.05,27,693.92
251,7,694.21,694.34,693.80,694.29,123,693.92
251,7,693.90,694.26,693.77,694.08,9,693.92
251,7,694.11,694.15,693.80,693.99,265,693.92
251,7,694.05,694.05,693.80,693.92,952,693.92
251,7,693.83,693.83,693.60,693.60,205,693.92
251,7,693.71,693.73,693.60,693.66,1133,693.92
251,7,693.71,693.80,693.55,693.75,326,693.92
251,7,693.76,693.76,693.61,693.63,8675,693.92
251,8,693.71,693.71,693.58,693.68,6,693.92
251,8,693.51,693.65,693.49,693.61,65,693.92
251,8,693.70,693.77,693.70,693.76,8,693.92
251,8,693.57,693.82,693.50,693.79,146,693.92
251,8,693.81,693.81,693.81,693.81,6,693.92
251,8,693.78,693.81,693.76,693.80,3,693.92
251,8,693.90,693.90,693.86,693.86,8912,693.92
251,8,693.96,694.00,693.96,694.00,8914,693.92
251,8,693.93,694.00,693.93,693.98,0,693.92
251,8,694.08,694.09,694.02,694.02,8918,693.93
251,8,694.03,694.08,693.87,693.87,11,693.93
251,8,693.97,693.98,693.82,693.93,8970,693.92
251,8,693.92,693.96,693.86,693.90,9,693.92
251,8,693.90,693.90,693.86,693.86,4,693.92
251,8,693.95,693.99,693.84,693.97,23,693.92
251,8,694.00,694.00,693.91,693.92,10,693.91
251,8,693.92,693.98,693.83,693.93,20,693.91
251,8,694.00,694.05,694.00,694.02,29,693.91
251,8,693.96,694.11,693.96,694.11,194,693.91
251,8,694.13,694.16,694.12,694.16,47,693.90
251,8,694.17,694.17,694.07,694.07,108,693.90
251,8,694.11,694.11,694.01,694.09,9416,693.90
251,8,694.07,694.08,694.05,694.08,6,693.90
251,8,694.06,694.06,693.95,693.99,66,693.90
251,8,694.02,694.08,693.97,694.01,7,693.89
