dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
300,7,434.61,435.04,434.30,434.76,0,434.85
300,8,434.73,435.57,434.62,435.57,1312,434.95
300,9,435.58,435.58,434.74,434.80,0,435.04
300,10,435.03,435.26,434.38,434.38,10995,435.14
300,11,434.51,434.51,433.28,433.28,2437,435.24
300,12,433.35,434.92,433.20,434.46,3113,435.34
300,13,434.70,435.00,432.80,433.25,8782,435.44
300,14,432.70,434.14,432.00,433.50,79923,435.53
300,15,433.75,434.77,432.84,434.18,20239,435.63
303,8,433.33,433.67,432.83,433.20,0,435.73
303,9,433.21,433.90,433.21,433.66,6896,435.83
303,10,433.72,433.76,433.21,433.46,577,435.93
303,11,433.46,433.88,433.43,433.73,0,436.02
303,12,433.70,433.78,433.00,433.15,14502,436.12
303,13,433.47,435.57,433.30,435.14,4161,436.22
303,14,435.11,435.20,432.44,433.01,26890,436.32
303,15,433.13,434.27,432.59,434.27,0,436.42
303,16,434.19,434.43,433.53,433.62,51216,436.51
304,8,434.92,436.51,434.70,436.51,4084,436.61
304,9,436.42,436.70,435.78,436.70,2361,436.71
304,10,436.73,437.17,436.51,436.92,60932,436.81
304,11,436.84,437.22,436.69,436.82,9607,437.34
304,12,436.76,437.28,436.15,436.62,8711,437.87
304,13,436.45,436.72,434.69,435.14,29480,438.40
304,14,434.73,436.85,434.45,436.52,16643,438.93
304,15,436.81,436.81,435.76,436.68,16924,439.47
304,16,436.70,436.70,435.61,436.20,3062,440.00
305,8,437.95,438.17,436.99,437.10,0,440.53
305,9,437.11,437.66,436.80,436.86,2720,441.06
305,10,436.91,437.35,436.70,437.17,2314,441.59
305,11,437.23,437.31,436.54,436.84,0,442.12
305,12,436.81,439.25,436.81,438.89,12410,442.65
305,13,438.39,440.34,438.32,440.05,2496,443.19
305,14,440.07,442.41,439.75,441.81,14878,443.72
305,15,441.81,442.10,440.72,441.37,13824,444.25
305,16,441.18,441.18,440.29,440.54,0,444.78
306,8,444.67,445.70,444.46,445.49,0,445.31
306,9,445.59,446.04,445.55,445.72,9703,445.84
306,10,445.71,445.79,445.31,445.77,4853,446.37
306,11,445.67,446.15,445.67,445.94,690,446.91
306,12,445.90,447.80,445.87,447.57,6171,447.44
306,13,447.52,448.93,447.16,448.51,7875,447.90
306,14,448.57,450.23,447.66,450.22,9946,448.37
306,15,450.23,450.25,449.20,449.74,10618,448.83
306,16,449.63,449.86,449.33,449.81,3116,449.29
307,8,451.15,451.37,451.01,451.19,0,449.76
307,9,451.05,451.20,450.69,451.20,2773,450.22
307,10,451.29,451.35,450.96,451.04,3509,450.69
307,11,451.00,451.52,450.86,451.37,465,451.15
307,12,451.54,454.27,451.24,453.89,4637,451.62
307,13,453.80,456.27,453.55,455.90,6133,452.08
307,14,456.50,456.50,454.56,455.22,9901,452.54
307,15,455.37,456.42,454.74,456.35,16547,453.01
307,16,456.27,457.35,456.11,456.90,3892,453.47
310,8,456.53,456.94,456.33,456.94,0,453.94
310,9,456.56,456.93,456.50,456.83,1170,454.40
310,10,456.94,457.06,456.66,456.90,1238,454.87
310,11,456.85,457.12,456.66,457.02,455,455.33
310,12,456.96,456.96,456.51,456.51,2015,455.79
