dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
303,8,415.90,415.90,415.41,415.69,0,415.67
303,12,416.33,416.33,416.26,416.26,62,416.89
304,8,417.16,417.16,417.16,417.16,452,418.11
304,9,418.57,418.57,418.32,418.51,0,419.34
304,10,418.76,419.29,418.76,419.29,173,420.56
304,13,418.59,418.93,417.33,417.56,4419,421.78
305,14,423.06,423.86,422.75,422.75,0,423.00
306,8,427.42,427.42,427.42,427.42,32,424.23
306,9,428.20,428.20,427.52,427.52,34,425.45
306,10,427.68,427.68,427.68,427.68,4,426.67
306,13,430.53,430.64,430.52,430.52,166,427.90
306,14,430.43,431.91,430.43,431.91,148,429.12
307,10,433.11,433.11,433.11,433.11,0,430.34
307,11,433.01,433.01,433.01,433.01,0,431.56
307,13,436.28,436.58,436.28,436.58,5,432.79
307,14,436.85,438.87,436.85,438.87,126,434.01
310,14,438.80,438.80,438.80,438.80,0,435.23
310,15,438.40,438.40,438.40,438.40,65,436.45
310,16,438.71,438.79,438.71,438.79,11,437.68
311,8,437.71,440.54,437.71,440.54,0,438.90
312,8,440.02,440.02,440.02,440.02,4,440.12
312,10,439.99,439.99,439.99,439.99,70,440.83
312,14,440.72,440.95,440.72,440.95,365,441.54
312,16,439.83,439.83,439.69,439.69,400,442.25
313,8,441.18,441.18,441.18,441.18,0,442.97
313,9,440.48,440.48,440.48,440.48,5,443.68
313,15,441.20,441.20,440.82,440.82,54,444.39
314,9,436.79,436.79,436.79,436.79,0,445.10
314,13,437.91,437.91,437.91,437.91,117,445.81
314,15,438.57,439.59,438.57,439.59,179,446.52
317,15,442.26,442.26,442.26,442.26,0,447.23
317,16,443.59,443.59,443.51,443.51,33,447.95
318,10,443.96,453.42,443.95,453.42,0,448.66
319,10,453.74,453.74,453.74,453.74,29,449.37
319,13,454.72,454.72,454.72,454.72,40,450.08
320,8,453.05,453.05,453.05,453.05,0,450.79
320,10,453.39,453.39,453.39,453.39,0,451.50
320,12,452.41,452.41,452.41,452.41,12,452.21
320,16,451.68,451.72,451.68,451.72,2,452.92
321,8,454.04,454.04,454.03,454.03,0,453.64
321,12,454.93,455.34,454.93,455.34,202,454.35
321,14,453.62,453.62,453.30,453.30,195,454.54
324,8,453.82,454.06,453.82,454.06,0,454.73
324,9,454.07,454.07,454.07,454.07,2,454.92
324,10,455.01,455.01,454.45,454.45,19,455.11
324,11,454.44,454.44,454.44,454.44,0,455.30
324,16,456.54,456.54,456.37,456.37,64,455.49
325,11,457.38,457.38,457.38,457.38,0,455.68
325,14,456.47,456.47,456.47,456.47,64,455.87
326,9,457.04,457.14,457.04,457.14,8,456.06
326,10,457.40,457.40,457.40,457.40,48,456.24
327,12,458.66,458.66,458.66,458.66,152,456.43
327,13,458.67,458.67,458.67,458.67,36,456.62
328,8,458.71,458.71,458.71,458.71,0,456.81
328,15,459.08,459.08,458.44,458.44,442,457.00
331,8,458.00,458.00,458.00,458.00,0,457.19
331,9,457.97,458.18,457.97,458.18,270,457.38
331,10,458.06,458.33,458.06,458.33,63,457.57
331,15,458.62,458.91,458.62,458.91,62,457.76
331,16,458.53,458.76,458.22,458.76,53,457.95
332,8,456.16,457.94,456.16,457.94,0,458.14
332,9,457.85,457.85,457.85,457.85,43,458.28
332,12,457.70,457.70,457.70,457.70,326,458.41
332,14,457.55,457.55,457.45,457.45,141,458.54
332,15,457.70,459.51,457.70,459.51,228,458.68
333,8,459.51,459.71,459.51,459.71,0,458.81
333,9,459.81,459.81,459.80,459.80,21,458.94
333,12,459.29,459.29,459.29,459.29,3700,459.08
334,8,459.64,459.64,459.64,459.64,0,459.21
334,9,459.58,459.58,459.57,459.57,0,459.34
334,10,459.68,459.68,459.68,459.68,24,459.48
334,13,460.74,460.81,460.20,460.20,1437,459.61
334,15,458.26,459.00,458.13,459.00,0,459.74
334,16,459.07,459.07,459.07,459.07,199,459.87
335,8,460.59,460.59,460.59,460.59,0,460.01
335,15,460.50,460.50,460.50,460.50,1312,460.14
338,8,462.65,462.65,462.65,462.65,0,460.27
338,9,462.47,462.47,462.47,462.47,18,460.41
338,11,462.34,462.34,462.34,462.34,19,460.54
338,13,461.62,461.62,459.68,459.68,8,460.67
339,8,459.33,460.81,459.33,460.81,2,460.81
340,8,461.52,461.52,461.52,461.52,42,461.20
340,9,462.26,462.26,461.70,461.70,17,461.60
340,14,463.21,463.21,463.21,463.21,0,462.00
340,16,461.75,461.75,461.46,461.46,198,462.39
341,8,457.53,457.53,457.53,457.53,0,462.79
341,9,458.60,459.24,458.60,459.24,88,463.19
341,10,459.24,459.24,459.20,459.20,69,463.58
341,11,459.37,459.37,459.36,459.36,0,463.98
341,13,459.65,460.55,459.65,460.55,5992,464.37
341,14,461.02,461.44,461.02,461.44,316,464.77
342,9,463.02,463.02,463.02,463.02,0,465.17
342,16,463.05,463.24,463.05,463.24,4,465.56
345,8,464.26,464.54,464.26,464.43,70,465.96
345,9,464.82,464.82,464.82,464.82,6,466.36
345,10,464.66,464.66,464.66,464.66,21,466.75
345,14,464.16,464.17,464.13,464.17,788,467.15
346,8,467.16,467.16,466.90,466.90,0,467.55
346,13,467.65,467.65,467.65,467.65,400,467.94
346,14,465.46,467.01,465.46,467.01,870,468.34
347,8,469.31,469.31,469.31,469.31,0,468.74
347,12,469.50,469.50,469.50,469.50,10,469.25
347,13,469.18,469.18,469.18,469.18,53,469.77
347,15,469.85,469.85,469.85,469.85,0,470.28
347,16,470.04,470.04,469.71,469.71,288,470.80
348,8,476.86,477.38,476.86,477.38,0,471.32
348,9,476.15,476.21,475.86,476.21,65,471.83
349,8,478.23,478.23,478.23,478.23,0,472.35
349,10,478.26,478.26,478.26,478.26,44,472.86
349,14,476.16,476.73,476.16,476.63,214,473.38
349,15,476.73,477.39,476.42,477.39,159,473.90
352,8,477.88,477.88,476.85,477.04,0,474.41
352,10,477.62,477.62,477.62,477.62,0,474.93
352,12,477.54,477.74,477.54,477.74,431,475.45
353,8,479.58,479.58,479.47,479.53,0,475.96
353,9,479.53,479.53,479.53,479.53,7,476.48
353,10,479.67,479.67,479.67,479.67,14,476.99
353,11,479.50,479.50,479.50,479.50,169,477.51
354,13,481.15,481.15,481.15,481.15,0,478.03
354,14,481.60,482.55,481.60,482.55,108,478.54
355,12,477.66,477.66,477.66,477.66,0,479.06
355,16,477.76,477.76,477.76,477.76,16,478.87
356,10,479.31,479.31,479.31,479.31,0,478.69
361,8,483.57,483.57,483.42,483.42,0,478.50
361,14,483.21,483.47,483.21,483.47,30,478.32
361,15,483.38,483.38,482.74,482.74,0,478.13
362,8,485.04,485.04,484.60,484.60,0,477.94
362,9,484.46,484.56,483.81,483.81,89,477.76
363,8,484.56,484.93,484.56,484.93,0,477.57
363,10,484.41,484.41,484.17,484.17,170,477.39
2,9,483.24,483.24,483.03,483.03,94,477.20
2,10,482.63,482.63,482.63,482.63,3,477.01
2,14,479.60,479.60,479.48,479.50,1200,476.83
3,8,479.05,479.05,479.05,479.05,0,476.64
3,9,478.15,478.15,478.14,478.14,20,476.46
3,10,478.33,478.50,477.88,477.88,165,476.27
3,14,475.92,475.92,475.92,475.92,390,476.09
3,15,475.97,476.14,475.16,475.42,1563,475.90
3,16,476.17,476.26,476.16,476.16,482,475.71
4,9,475.61,476.03,475.14,475.71,315,475.53
4,14,474.64,474.64,474.64,474.64,0,475.34
4,16,476.47,476.49,476.47,476.49,345,475.66
5,8,473.01,473.50,473.01,473.30,0,475.98
5,10,472.30,472.30,472.27,472.27,30,476.29
5,11,472.60,472.60,472.60,472.60,420,476.61
5,13,472.50,472.50,472.50,472.50,0,476.93
5,14,474.57,474.57,474.57,474.57,193,477.25
5,15,476.64,476.64,476.15,476.20,1737,477.56
8,8,473.79,473.79,473.79,473.79,0,477.88
8,10,473.32,473.32,473.32,473.32,0,478.20
8,14,475.11,475.11,475.11,475.11,200,478.51
8,15,476.09,477.00,476.09,477.00,200,478.83
9,8,479.82,479.82,479.82,479.82,0,479.15
9,10,479.65,479.65,479.65,479.65,44,479.47
9,13,478.78,478.78,478.76,478.76,103,479.78
9,14,478.34,478.34,478.34,478.34,22,480.10
10,8,480.64,480.64,480.64,480.64,0,480.42
10,9,481.28,481.28,481.28,481.28,4,480.73
10,10,480.88,480.88,480.88,480.88,3,481.05
10,11,480.78,480.78,480.78,480.78,4,481.37
10,12,480.38,480.38,480.38,480.38,152,481.69
11,8,484.75,484.75,484.75,484.75,0,481.62
11,9,484.07,484.07,484.07,484.07,0,481.54
11,13,484.25,484.25,484.25,484.25,100,481.47
11,14,483.22,483.22,479.55,479.55,0,481.40
12,8,481.75,481.75,481.75,481.75,41,481.33
12,15,482.88,482.88,482.88,482.88,21334,481.26
15,8,483.82,483.83,483.24,483.24,0,481.19
15,10,482.61,482.61,482.61,482.61,21,481.12
15,15,483.00,483.00,482.95,482.95,0,481.05
16,8,481.04,481.04,480.09,480.09,800,480.98
16,15,482.62,482.62,482.54,482.54,86,480.91
17,8,477.43,479.46,477.43,479.46,0,480.84
17,9,478.76,478.76,478.76,478.76,17,480.77
17,10,479.07,479.07,479.07,479.07,18,480.70
17,12,480.05,480.05,480.05,480.05,60,480.63
17,13,478.15,478.15,478.15,478.15,400,480.56
17,14,477.61,477.61,477.61,477.61,0,480.49
17,15,478.36,478.74,478.34,478.74,114,480.42
18,8,478.93,478.93,478.88,478.88,0,480.35
18,13,481.00,481.00,481.00,481.00,3,480.28
18,14,480.57,480.57,479.98,480.04,252,480.92
19,8,483.96,484.01,483.64,483.64,0,481.56
19,9,483.64,483.64,483.64,483.64,186,482.20
19,10,483.64,483.64,483.64,483.64,0,482.85
19,15,485.09,485.09,485.09,485.09,400,483.49
19,16,485.57,485.59,485.42,485.42,2865,484.13
22,8,490.17,490.57,489.58,490.49,0,484.77
22,9,490.43,490.43,490.43,490.43,17,485.41
22,10,490.48,490.48,490.48,490.48,18,486.06
22,14,490.81,491.73,490.81,491.66,408,486.70
22,15,492.05,492.05,490.47,490.47,925,487.34
22,16,490.08,490.98,490.08,490.98,269,487.98
23,8,490.87,490.87,490.24,490.24,0,488.63
23,9,490.51,490.51,490.50,490.50,18,489.27
23,10,490.19,490.19,490.19,490.19,17,489.91
23,15,490.34,490.75,490.34,490.75,80,490.55
24,8,493.85,493.87,493.70,493.87,0,491.20
24,13,494.49,494.49,494.48,494.48,9,491.84
24,15,493.13,495.02,493.13,495.02,600,492.48
25,8,492.25,492.41,492.25,492.40,0,493.12
25,9,492.49,492.49,492.48,492.48,113,493.24
25,10,492.45,492.45,492.22,492.22,12,493.36
25,14,494.20,494.20,494.20,494.20,203,493.49
25,15,494.20,494.20,494.20,494.20,932,493.61
26,9,492.56,492.56,492.55,492.55,0,493.73
26,15,493.77,494.04,493.77,493.81,67,493.85
29,10,494.06,494.06,494.06,494.06,0,493.97
29,15,494.38,494.72,494.02,494.61,218,494.09
30,8,497.84,497.97,497.84,497.91,0,494.21
30,9,498.20,498.28,497.60,497.90,409,494.33
30,10,497.88,498.13,497.88,498.05,0,494.45
30,13,498.05,498.05,497.04,497.04,3961,494.57
30,14,497.03,497.92,496.88,497.92,277,494.70
30,15,497.71,497.71,497.14,497.21,232,494.82
30,16,497.22,497.98,497.22,497.98,58,494.94
31,8,496.11,496.11,496.11,496.11,0,495.06
31,9,495.73,496.08,495.73,495.94,118,495.18
31,10,495.31,495.31,495.31,495.31,51,495.30
31,11,495.49,495.49,495.49,495.49,472,495.42
31,13,495.89,495.89,495.87,495.87,422,495.54
31,14,495.38,495.38,495.38,495.38,200,495.76
31,15,494.45,494.45,493.47,493.47,68,495.97
32,8,489.35,491.23,489.35,491.07,0,496.18
32,9,491.37,491.37,491.37,491.37,32,496.39
32,10,491.44,491.67,491.43,491.67,139,496.61
32,13,491.89,492.11,491.89,492.11,1559,496.82
32,15,492.53,492.54,492.51,492.51,0,497.03
32,16,490.44,491.00,490.44,491.00,3,497.24
33,8,498.42,498.82,498.09,498.81,4804,497.46
33,9,498.85,498.85,498.31,498.31,155,497.67
33,10,498.66,498.85,498.48,498.64,34526,497.88
33,11,498.64,499.01,498.64,499.01,20413,498.09
33,12,498.84,499.26,498.81,499.22,24696,498.31
33,13,499.17,499.21,496.69,496.69,168021,498.52
