dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
303,8,28912.00,28934.00,28852.10,28864.00,0,28861.70
303,9,28853.00,28860.00,28817.00,28822.00,129,28865.38
303,10,28833.00,28839.00,28798.00,28820.00,274,28869.07
303,11,28820.00,28837.30,28815.00,28829.00,369,28872.75
303,12,28835.50,28835.50,28750.00,28758.00,1762,28876.44
303,13,28764.20,28987.00,28721.00,28966.00,1072,28880.12
303,14,28875.00,28916.00,28698.00,28750.00,2908,28883.81
303,15,28764.00,28822.20,28654.00,28797.00,1323,28887.49
303,16,28788.00,28805.00,28725.00,28735.00,1339,28891.18
304,8,28728.50,28806.00,28705.00,28806.00,0,28894.86
304,9,28793.10,28794.18,28564.00,28564.00,2166,28898.55
304,10,28780.00,28794.00,28762.00,28764.20,432,28902.23
304,11,28760.00,28824.40,28760.00,28824.40,641,28905.92
304,12,28820.00,28851.00,28820.00,28851.00,618,28909.60
304,13,28830.00,28895.00,28685.00,28743.00,589,28913.29
304,14,28748.00,28885.00,28743.00,28881.00,1142,28916.97
304,15,28895.00,28934.00,28842.20,28880.00,659,28920.66
304,16,28857.00,28871.00,28814.00,28868.00,800,28924.34
305,8,28945.00,28952.00,28900.00,28925.00,0,28928.03
305,9,28942.00,28957.00,28895.00,28921.00,2062,28931.71
305,10,28921.00,28936.10,28898.00,28935.00,1527,28935.40
305,11,28928.00,28937.00,28911.00,28927.00,289,28978.21
305,12,28928.00,29091.80,28928.00,29084.00,0,29021.02
305,13,29060.00,29283.00,29060.00,29256.00,0,29063.83
305,14,29375.00,29375.00,29175.00,29280.20,9692,29106.64
305,15,29293.00,29317.70,29220.00,29317.70,1415,29149.45
305,16,29316.00,29316.00,29274.90,29275.10,520,29192.26
306,8,29652.00,29690.00,29608.10,29690.00,0,29235.07
306,9,29685.00,29710.00,29652.00,29654.00,1149,29277.88
306,10,29653.00,29670.00,29640.00,29670.00,3306,29320.69
306,11,29662.40,29711.00,29642.00,29700.00,0,29363.50
306,12,29655.00,29769.50,29653.80,29769.50,11408,29406.32
306,13,29768.70,29807.00,29725.00,29754.00,2100,29449.13
306,14,29783.00,29890.00,29728.47,29883.20,872,29491.94
306,15,29875.00,29900.00,29829.00,29865.40,3476,29534.75
306,16,29867.20,29873.50,29825.00,29867.00,1934,29577.56
307,8,29809.00,29845.40,29805.00,29832.30,0,29620.37
307,9,29827.00,29827.00,29781.00,29781.00,420,29663.18
307,10,29789.00,29798.00,29752.00,29760.30,393,29705.99
307,11,29751.00,29804.00,29737.00,29804.00,1360,29748.80
307,12,29800.00,29864.00,29733.92,29733.92,1452,29791.61
307,13,29739.00,29900.00,29684.93,29900.00,564,29817.05
307,14,29845.00,29875.40,29735.00,29735.00,1327,29842.48
307,15,29832.00,29832.00,29742.00,29797.20,1895,29867.91
307,16,29792.10,29871.00,29789.00,29860.00,1991,29893.35
310,8,29890.00,29890.00,29817.00,29834.00,0,29918.78
310,9,29815.00,29864.10,29798.00,29864.10,761,29944.22
310,10,29867.40,29870.10,29810.60,29825.00,2214,29969.65
310,11,29824.00,29828.00,29806.00,29819.00,1313,29995.08
310,12,29800.00,29840.00,29787.00,29839.00,835,30020.52
310,13,29845.00,29882.40,29838.00,29878.70,1332,30045.95
310,14,29880.00,29938.00,29860.00,29905.00,1043,30071.39
310,15,29921.60,29948.00,29871.00,29905.00,1426,30096.82
310,16,29900.00,29922.02,29900.00,29911.00,762,30122.25
311,8,30014.00,30047.00,30005.80,30038.00,0,30147.69
311,9,30060.30,30076.50,30055.30,30060.00,284,30173.12
311,10,30060.00,30105.00,30060.00,30095.00,1839,30198.55
311,11,30091.00,30110.00,30085.77,30099.00,55,30223.99
311,12,30094.77,30139.00,30094.77,30139.00,510,30249.42
