dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
299,13,4175.99,4183.60,4155.61,4165.32,0,4165.50
299,14,4165.33,4179.63,4153.18,4155.03,394905967,4165.64
299,15,4154.90,4159.98,4134.20,4140.84,283862000,4165.79
299,16,4140.85,4142.38,4130.94,4133.23,270450000,4165.93
299,17,4133.17,4153.50,4127.90,4152.72,238111000,4166.07
299,18,4153.13,4170.33,4150.64,4153.43,300561000,4166.21
299,19,4153.27,4153.77,4134.23,4136.32,431894000,4166.35
300,13,4152.93,4155.84,4135.72,4141.69,0,4166.49
300,14,4141.59,4156.70,4130.40,4150.81,352454015,4166.64
300,15,4150.79,4151.34,4132.14,4136.46,252537137,4166.78
300,16,4136.44,4140.41,4114.79,4118.67,237819000,4166.92
300,17,4118.68,4121.84,4107.55,4108.95,264404000,4167.06
300,18,4109.11,4122.72,4104.17,4115.70,324531000,4167.20
300,19,4115.52,4118.42,4103.78,4118.30,423954000,4167.35
303,13,4139.39,4163.50,4137.22,4140.29,0,4167.49
303,14,4140.40,4151.28,4132.94,4140.06,317589805,4167.63
303,15,4140.15,4152.78,4140.15,4144.32,249162974,4167.77
303,16,4144.36,4162.24,4137.17,4161.10,240669000,4167.91
303,17,4161.14,4167.75,4157.15,4163.50,250889000,4168.05
303,18,4163.51,4177.47,4163.51,4172.96,301588000,4168.20
303,19,4172.96,4174.45,4165.85,4166.51,398428000,4168.34
304,13,4171.33,4172.87,4153.12,4168.03,0,4175.69
304,14,4167.94,4176.03,4158.93,4167.54,305111078,4183.05
304,15,4167.62,4175.30,4163.43,4169.74,235801127,4190.41
304,16,4169.63,4181.74,4164.21,4180.03,210743197,4197.77
304,17,4180.00,4190.90,4180.00,4181.73,227342000,4205.12
304,18,4181.56,4195.46,4181.49,4193.04,264149000,4212.48
304,19,4193.01,4195.55,4186.42,4193.35,414516000,4219.84
305,13,4201.27,4225.22,4197.74,4222.76,492931336,4227.20
305,14,4222.72,4229.33,4213.13,4214.26,323118613,4234.55
305,15,4214.31,4219.45,4209.27,4211.02,237643051,4241.91
305,16,4211.01,4214.35,4204.13,4208.50,219997000,4249.27
305,17,4208.51,4219.16,4204.22,4215.08,231901000,4256.63
305,18,4214.95,4244.11,4202.02,4239.25,412504000,4263.98
305,19,4239.23,4245.64,4235.80,4237.61,430241000,4271.34
306,13,4268.26,4294.51,4268.26,4292.99,0,4278.70
306,14,4293.04,4304.35,4292.71,4298.17,355126457,4286.06
306,15,4298.12,4303.58,4295.73,4298.18,258768176,4293.41
306,16,4298.14,4308.65,4297.32,4307.10,226964000,4300.77
306,17,4307.11,4314.69,4307.11,4312.44,229619000,4308.13
306,18,4312.46,4316.17,4311.02,4313.61,285691000,4315.49
306,19,4313.67,4319.72,4313.41,4317.96,441140000,4318.82
307,13,4334.23,4364.47,4334.23,4348.88,0,4322.15
307,14,4349.07,4353.87,4343.59,4350.44,341329357,4325.49
307,15,4350.43,4367.68,4350.43,4366.43,262916330,4328.82
307,16,4366.35,4369.54,4359.35,4361.39,230716000,4332.16
307,17,4361.38,4369.02,4360.37,4368.05,224414000,4335.49
307,18,4368.01,4373.62,4364.36,4365.40,275520000,4338.82
307,19,4365.40,4365.88,4357.62,4358.11,407786000,4342.16
310,14,4364.27,4372.21,4358.40,4363.48,0,4345.49
310,15,4363.53,4369.21,4362.04,4365.20,246757973,4348.82
310,16,4365.26,4366.63,4359.79,4361.18,202914821,4352.16
310,17,4361.14,4361.85,4347.53,4352.53,187456397,4355.49
310,18,4352.52,4355.56,4347.77,4353.15,188989000,4358.83
310,19,4353.20,4362.85,4352.58,4360.87,229930000,4362.16
310,20,4360.85,4367.05,4357.70,4366.73,339795000,4365.49
311,14,4366.21,4375.18,4355.41,4375.18,0,4368.83
311,15,4375.18,4385.15,4374.23,4381.20,267835867,4372.16
311,16,4381.27,4385.41,4371.63,4373.54,195244315,4375.49
311,17,4373.55,4382.85,4369.59,4380.99,193088313,4378.83
311,18,4381.03,4384.95,4380.86,4383.57,194098000,4382.16
311,19,4383.61,4384.84,4377.09,4382.63,237442000,4382.87
