dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,13,6498.09,6498.09,6491.14,6493.63,19178339,6493.43
251,13,6493.82,6494.96,6492.82,6494.20,28403135,6493.51
251,13,6494.34,6498.97,6493.59,6498.75,25496169,6493.60
251,13,6499.08,6501.68,6498.67,6498.97,23021057,6493.68
251,13,6499.11,6499.66,6491.77,6491.77,19932536,6493.77
251,13,6492.05,6498.64,6492.05,6498.60,21872063,6493.85
251,13,6498.65,6499.68,6495.28,6497.75,20008447,6493.94
251,13,6497.64,6497.90,6493.26,6494.70,25819031,6494.02
251,13,6494.69,6495.22,6491.49,6491.69,20273370,6494.11
251,13,6491.79,6498.82,6491.79,6498.12,20133784,6494.19
251,13,6497.88,6497.88,6492.76,6496.04,21642757,6494.27
251,13,6495.81,6496.46,6493.73,6494.72,17603819,6494.36
251,13,6494.65,6499.90,6494.65,6499.90,16704023,6494.44
251,13,6499.70,6500.08,6497.05,6498.39,16063823,6494.53
251,13,6498.42,6498.57,6494.43,6494.95,15465569,6494.61
251,14,6494.04,6494.41,6490.29,6490.63,20175698,6494.70
251,14,6490.46,6493.68,6490.46,6493.13,17631313,6494.78
251,14,6493.22,6494.33,6492.07,6493.69,17365453,6494.87
251,14,6493.51,6496.80,6493.51,6495.99,14708824,6494.95
251,14,6496.15,6497.15,6494.32,6495.15,14661270,6495.04
251,14,6495.14,6496.49,6494.25,6495.90,13717429,6495.12
251,14,6496.03,6496.03,6492.99,6493.85,16031663,6495.56
251,14,6494.02,6494.73,6492.21,6493.24,15442189,6496.01
251,14,6493.08,6493.23,6490.58,6490.58,13956235,6496.45
251,14,6490.57,6491.47,6487.73,6489.39,13924438,6496.89
251,14,6489.42,6490.14,6488.31,6488.85,13417705,6497.33
251,14,6489.03,6492.15,6488.97,6491.70,13350827,6497.77
251,14,6491.68,6492.73,6490.32,6490.85,12748772,6498.22
251,14,6490.85,6497.39,6490.85,6496.56,13945359,6498.66
251,14,6496.58,6499.01,6496.44,6498.48,12051644,6499.10
251,14,6498.38,6500.72,6498.38,6499.81,15513819,6499.54
251,14,6499.92,6501.57,6497.37,6498.30,14027355,6499.98
251,14,6498.33,6499.19,6497.98,6498.87,12604047,6500.43
251,14,6498.79,6500.26,6498.79,6499.41,13552454,6500.87
251,14,6499.58,6502.73,6499.25,6501.24,13849091,6501.31
251,14,6501.29,6502.76,6500.63,6502.67,12126451,6501.75
251,14,6502.76,6504.35,6502.42,6503.69,13602554,6502.20
251,14,6503.72,6504.26,6502.25,6502.44,13749597,6502.64
251,14,6502.36,6505.42,6502.36,6504.33,13658222,6503.08
251,14,6504.34,6505.45,6503.55,6504.40,13283907,6503.52
251,14,6504.26,6504.26,6502.60,6503.30,11759039,6503.96
251,14,6503.34,6504.46,6503.31,6504.45,12377137,6504.14
251,14,6504.47,6505.82,6503.83,6505.49,11464264,6504.31
251,14,6505.73,6507.46,6505.20,6506.98,13140915,6504.48
251,14,6507.00,6507.00,6503.64,6503.84,12304044,6504.65
251,15,6503.90,6506.09,6503.74,6504.75,13706550,6504.82
251,15,6504.84,6506.71,6504.51,6506.43,13040175,6504.99
251,15,6506.35,6506.54,6505.26,6505.86,12205692,6505.16
251,15,6505.66,6506.62,6504.98,6505.87,11467788,6505.34
251,15,6505.76,6506.36,6504.89,6505.66,10534835,6505.51
251,15,6505.70,6508.10,6505.70,6507.32,11964612,6505.68
251,15,6507.28,6507.98,6506.71,6507.32,11327661,6505.85
251,15,6507.36,6507.81,6505.03,6505.13,10563028,6506.02
251,15,6505.10,6505.63,6504.24,6504.26,11570330,6506.19
251,15,6504.19,6504.57,6501.90,6502.36,11632043,6506.37
251,15,6502.43,6502.75,6501.67,6502.26,10465601,6506.54
251,15,6502.29,6503.82,6502.29,6503.47,11422273,6506.71
251,15,6503.63,6505.08,6503.15,6504.90,11025649,6506.88
251,15,6504.97,6505.72,6504.61,6505.51,11351949,6507.05
251,15,6505.50,6508.07,6505.26,6507.96,11474103,6507.22
251,15,6507.98,6508.22,6507.22,6507.79,10234000,6507.39
251,15,6507.83,6508.67,6506.73,6506.80,10692000,6506.96
251,15,6506.75,6507.07,6505.07,6505.11,10909000,6506.53
251,15,6505.12,6505.82,6503.01,6503.01,10123000,6506.09
251,15,6503.04,6504.69,6503.04,6503.83,8742000,6505.66
251,15,6503.82,6503.82,6501.93,6502.79,8995000,6505.22
251,15,6502.74,6503.03,6502.01,6502.73,9124000,6504.79
251,15,6502.80,6502.85,6500.03,6500.19,9604000,6504.36
251,15,6500.16,6500.55,6496.50,6496.55,10660000,6503.92
251,15,6496.38,6498.67,6495.45,6498.52,11633000,6503.49
251,15,6498.36,6500.79,6497.34,6500.62,9526000,6503.05
251,15,6500.60,6501.29,6499.80,6501.23,8389000,6502.62
251,15,6501.25,6503.33,6501.12,6502.85,8021000,6502.19
251,15,6502.89,6504.03,6502.47,6503.72,8508000,6501.75
251,15,6503.86,6504.52,6503.37,6504.21,9702000,6501.32
251,16,6504.34,6504.53,6500.12,6500.36,12494000,6500.88
251,16,6500.39,6502.51,6500.39,6502.32,8954000,6500.45
251,16,6502.08,6502.46,6500.21,6500.45,8813000,6500.01
251,16,6500.30,6500.50,6498.13,6498.62,8638000,6499.58
251,16,6498.65,6499.03,6497.48,6497.74,7845000,6499.15
251,16,6497.74,6499.30,6497.49,6499.25,9391000,6498.71
251,16,6499.23,6500.01,6498.42,6498.87,7709000,6498.45
251,16,6498.86,6499.07,6497.34,6497.65,7149000,6498.18
