dayoftheyear,open,high,low,close,WLLDE
0,2058.90,2072.36,2046.04,2058.20,2056.88
1,2054.44,2054.44,2017.34,2020.58,2027.47
2,2022.15,2030.25,1992.44,2002.61,2016.88
3,2005.55,2029.61,2005.55,2025.90,2029.56
4,2030.61,2064.08,2030.61,2062.14,2045.69
5,2063.45,2064.43,2038.33,2044.81,2043.34
6,2046.13,2049.30,2022.58,2028.26,2031.53
7,2031.58,2056.93,2008.25,2023.03,2021.21
8,2018.40,2018.40,1988.44,2011.27,2010.66
9,2013.75,2021.35,1991.47,1992.67,2005.91
10,1992.25,2020.46,1988.12,2019.42,2014.03
11,2020.76,2028.94,2004.49,2022.55,2024.52
12,2020.19,2038.29,2012.04,2032.12,2037.49
13,2034.30,2064.62,2026.38,2063.15,2051.14
14,2062.98,2062.98,2050.54,2051.82,2054.08
15,2050.42,2057.62,2040.97,2057.09,2047.30
16,2047.86,2047.86,2019.91,2029.55,2030.11
17,2032.34,2042.49,2001.49,2002.16,2015.19
18,2002.45,2024.64,1989.18,2021.25,2010.82
19,2019.35,2023.32,1993.38,1994.99,2009.93
20,1996.67,2021.66,1980.90,2020.85,2022.47
21,2022.71,2050.30,2022.71,2050.03,2039.38
22,2048.86,2054.74,2036.72,2041.51,2048.25
23,2043.45,2063.55,2043.45,2062.52,2054.69
24,2062.28,2072.40,2049.97,2055.47,2055.05
25,2053.47,2056.16,2041.88,2046.74,2055.53
26,2049.38,2070.86,2048.62,2068.59,2063.64
27,2068.55,2073.48,2057.99,2068.53,2073.60
28,2069.98,2088.53,2069.98,2088.48,2085.39
29,2088.78,2097.03,2086.70,2096.99,2094.74
30,2096.47,2101.30,2089.80,2100.34,2098.79
31,2099.16,2100.23,2092.15,2099.68,2099.60
32,2099.25,2102.13,2090.79,2097.45,2101.65
33,2097.65,2110.61,2085.44,2110.30,2106.86
34,2109.83,2110.05,2103.00,2109.66,2110.89
35,2109.10,2117.94,2105.87,2115.48,2113.28
36,2115.30,2119.59,2109.89,2113.86,2112.99
37,2113.91,2113.91,2103.76,2110.74,2110.41
38,2110.88,2112.74,2103.75,2104.50,2109.56
39,2105.23,2117.52,2104.50,2117.39,2111.02
40,2115.76,2115.76,2098.26,2107.78,2107.43
41,2107.72,2107.72,2094.49,2098.53,2101.00
42,2098.54,2104.25,2095.22,2101.04,2092.69
43,2100.91,2100.91,2067.27,2071.26,2080.35
44,2072.25,2083.49,2072.21,2079.43,2068.39
45,2076.14,2076.14,2044.16,2044.16,2053.61
46,2044.69,2050.08,2039.69,2040.24,2049.41
47,2041.10,2066.41,2041.10,2065.95,2056.59
48,2064.56,2064.56,2041.17,2053.40,2063.40
49,2055.35,2081.41,2055.35,2081.19,2072.95
50,2080.59,2080.59,2065.08,2074.28,2081.78
51,2072.84,2106.85,2061.23,2099.50,2090.59
52,2098.69,2098.69,2085.56,2089.27,2096.21
53,2090.32,2113.92,2090.32,2108.10,2101.63
54,2107.99,2114.86,2104.42,2104.42,2099.92
55,2103.94,2107.63,2091.50,2091.50,2086.55
56,2093.10,2097.43,2061.05,2061.05,2068.91
57,2059.94,2067.15,2045.50,2056.15,2061.05
58,2055.78,2062.83,2052.96,2061.02,2066.20
59,2064.11,2088.97,2064.11,2086.24,2073.62
60,2084.05,2084.05,2067.04,2067.89,2070.03
61,2067.63,2067.63,2048.38,2059.69,2065.20
62,2060.03,2072.17,2057.32,2066.96,2068.93
63,2064.87,2086.99,2056.52,2080.62,2075.59
64,2080.79,2089.81,2076.10,2076.33,2078.91
65,2076.94,2086.69,2073.30,2081.90,2083.49
66,2081.29,2093.31,2074.29,2091.18,2091.04
67,2091.51,2102.61,2091.51,2102.06,2096.13
68,2102.03,2107.65,2092.33,2092.43,2096.04
69,2092.28,2098.62,2083.24,2095.84,2098.15
70,2097.82,2111.91,2097.82,2106.63,2102.15
71,2105.96,2111.30,2100.02,2104.99,2099.14
72,2102.58,2102.58,2072.37,2081.18,2093.10
73,2084.11,2103.94,2084.11,2100.40,2095.55
74,2102.82,2109.64,2094.38,2097.29,2100.62
75,2098.27,2109.98,2091.05,2107.96,2106.63
76,2107.21,2120.49,2103.19,2112.93,2112.12
77,2112.80,2120.92,2112.80,2117.69,2113.93
78,2119.29,2125.92,2107.04,2108.92,2112.44
79,2108.35,2116.04,2094.89,2114.76,2110.47
80,2112.49,2113.65,2097.41,2106.85,2103.80
81,2105.52,2105.52,2077.59,2085.51,2098.29
82,2087.38,2108.41,2087.38,2108.29,2103.53
83,2110.23,2120.95,2110.23,2114.49,2104.59
84,2112.63,2115.24,2088.46,2089.46,2093.91
85,2091.26,2098.42,2067.93,2080.15,2086.98
86,2079.96,2092.90,2074.99,2088.00,2093.61
87,2092.13,2117.66,2092.13,2116.10,2104.74
88,2115.56,2117.69,2104.58,2105.33,2105.50
89,2102.87,2105.06,2085.57,2099.12,2101.94
90,2099.62,2110.19,2096.04,2098.48,2105.29
91,2100.43,2121.45,2100.43,2121.10,2115.54
92,2122.07,2123.89,2116.81,2122.73,2123.13
93,2121.30,2131.78,2120.01,2129.20,2126.85
94,2129.45,2133.02,2124.50,2127.83,2127.59
95,2127.79,2134.72,2122.59,2125.85,2127.60
96,2125.55,2134.28,2122.95,2130.82,2127.37
97,2130.36,2132.15,2126.06,2126.06,2121.86
98,2125.34,2125.34,2099.18,2104.20,2115.70
99,2105.13,2126.22,2105.13,2123.48,2117.71
100,2122.27,2122.27,2112.86,2120.79,2117.26
101,2120.66,2120.66,2104.89,2107.39,2112.32
102,2108.64,2119.15,2102.54,2111.73,2110.60
103,2110.41,2117.59,2099.14,2109.60,2110.57
104,2110.64,2121.92,2109.61,2114.07,2107.69
105,2112.35,2112.89,2093.23,2095.84,2099.37
106,2095.09,2100.99,2085.67,2092.83,2090.68
107,2092.34,2093.01,2079.11,2079.28,2084.43
108,2079.07,2085.62,2072.14,2080.15,2087.54
109,2081.12,2108.50,2081.12,2105.20,2098.64
110,2106.24,2115.02,2106.24,2108.86,2102.39
111,2107.43,2107.43,2091.33,2094.11,2095.81
112,2091.34,2091.34,2072.49,2084.43,2091.20
113,2084.26,2097.40,2082.10,2096.29,2095.35
114,2097.40,2106.79,2088.86,2100.44,2104.21
115,2101.58,2126.65,2101.58,2121.24,2112.64
116,2121.06,2121.64,2109.45,2109.99,2115.90
117,2112.50,2129.87,2112.50,2122.85,2119.43
118,2123.16,2128.03,2119.89,2124.20,2118.74
119,2123.65,2125.10,2108.58,2108.58,2111.00
120,2109.96,2116.04,2101.78,2102.31,2102.73
121,2102.62,2108.92,2095.38,2101.49,2090.02
122,2098.63,2098.63,2056.64,2057.64,2071.97
123,2061.19,2074.28,2056.32,2063.11,2067.26
124,2067.00,2082.78,2067.00,2077.42,2072.83
125,2078.03,2085.06,2071.02,2076.78,2074.59
126,2073.95,2078.61,2058.40,2068.76,2073.14
127,2069.52,2083.74,2044.02,2081.34,2068.73
128,2077.66,2077.66,2044.66,2046.68,2058.17
