dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,8.97,9.01,8.97,9.01,1,9.00
251,7,8.97,9.01,8.97,8.99,94,9.00
251,7,9.01,9.01,9.01,9.01,18,9.00
251,7,9.01,9.01,9.01,9.01,0,9.00
251,7,9.01,9.01,9.01,9.01,0,9.00
251,7,8.99,9.00,8.99,9.00,22171,9.00
251,7,9.01,9.01,9.01,9.01,0,9.00
251,7,9.00,9.00,9.00,9.00,22175,9.00
251,7,8.99,8.99,8.99,8.99,14,9.00
251,7,9.00,9.00,9.00,9.00,1,9.00
251,7,8.99,8.99,8.99,8.99,8,9.00
251,7,8.99,8.99,8.99,8.99,99,9.00
251,7,8.99,8.99,8.99,8.99,2,9.00
251,8,9.00,9.00,9.00,9.00,0,9.00
251,8,9.00,9.00,9.00,9.00,7,9.00
251,8,9.00,9.00,8.99,8.99,59,9.00
251,8,8.99,8.99,8.99,8.99,585,9.00
251,8,8.99,8.99,8.99,8.99,0,9.00
251,9,9.00,9.00,9.00,9.00,107,9.00
251,9,9.00,9.00,9.00,9.00,0,9.00
251,9,9.01,9.01,9.01,9.01,1,9.00
251,9,9.01,9.01,9.01,9.01,3,9.00
251,9,9.00,9.00,9.00,9.00,149,9.00
251,9,9.00,9.00,9.00,9.00,46,9.00
251,9,8.99,8.99,8.99,8.99,0,9.00
251,9,9.01,9.01,8.99,8.99,66,9.00
251,10,9.01,9.01,9.01,9.01,2,9.00
251,10,9.01,9.01,9.01,9.01,3,9.00
251,10,9.01,9.01,9.01,9.01,16,9.00
251,10,9.01,9.01,9.01,9.01,47,9.00
251,10,9.01,9.01,9.01,9.01,0,9.00
251,10,9.00,9.01,9.00,9.01,23048,9.00
251,10,9.00,9.00,9.00,9.00,15,9.00
251,11,9.01,9.01,9.01,9.01,317,9.00
251,11,9.01,9.01,9.01,9.01,1,9.00
251,11,9.01,9.01,9.01,9.01,8,9.00
251,11,9.00,9.00,9.00,9.00,296,9.00
251,11,9.01,9.01,9.01,9.01,5,9.00
251,12,8.99,8.99,8.99,8.99,3,9.00
251,12,9.01,9.01,9.01,9.01,5,9.00
251,12,9.00,9.00,9.00,9.00,2137,9.00
251,13,9.01,9.01,9.01,9.01,0,9.00
251,13,9.01,9.01,9.01,9.01,2,8.99
251,13,8.99,8.99,8.99,8.99,0,8.98
251,13,8.97,9.01,8.97,9.01,12329,8.98
251,13,8.98,8.98,8.98,8.98,6,8.97
251,13,8.98,8.99,8.98,8.99,28233,8.96
251,13,8.97,8.97,8.97,8.97,1015,8.96
251,13,8.96,8.96,8.96,8.96,12020,8.95
251,13,8.96,8.96,8.96,8.96,0,8.94
251,13,8.95,8.95,8.95,8.95,81848,8.94
251,13,8.94,8.94,8.94,8.94,2266,8.93
251,13,8.92,8.92,8.92,8.92,10033,8.92
251,13,8.94,8.94,8.93,8.93,32811,8.92
251,13,8.91,8.91,8.90,8.90,699,8.91
251,13,8.89,8.89,8.89,8.89,11164,8.90
251,13,8.89,8.90,8.89,8.90,1333,8.90
251,13,8.89,8.89,8.89,8.89,3,8.89
251,13,8.89,8.89,8.89,8.89,10,8.88
251,14,8.86,8.86,8.86,8.86,1997,8.88
251,14,8.87,8.87,8.87,8.87,33528,8.87
251,14,8.87,8.87,8.87,8.87,140,8.87
251,14,8.88,8.88,8.88,8.88,0,8.88
251,14,8.88,8.88,8.88,8.88,4000,8.88
251,14,8.90,8.90,8.89,8.89,1674,8.89
251,14,8.91,8.91,8.91,8.91,10,8.89
251,14,8.91,8.91,8.91,8.91,10,8.90
251,14,8.92,8.92,8.91,8.91,13192,8.90
251,15,8.93,8.93,8.93,8.93,0,8.91
251,15,8.94,8.94,8.94,8.94,81,8.91
251,15,8.94,8.94,8.94,8.94,6244,8.92
252,7,8.97,8.98,8.97,8.97,5,8.92
252,7,8.97,8.97,8.97,8.97,1,8.93
252,7,8.95,8.96,8.95,8.96,390,8.93
252,7,8.96,8.96,8.96,8.96,195,8.93
252,7,8.96,8.96,8.96,8.96,390,8.94
252,7,8.96,8.96,8.96,8.96,390,8.94
252,7,8.98,8.98,8.96,8.96,197,8.95
252,7,8.96,8.97,8.96,8.97,195,8.95
252,7,8.97,8.97,8.97,8.97,2,8.96
252,7,8.96,8.96,8.96,8.96,3017,8.96
252,7,8.96,8.96,8.96,8.96,195,8.96
252,7,8.96,8.96,8.96,8.96,195,8.96
252,7,8.96,8.96,8.96,8.96,585,8.96
252,7,8.96,8.96,8.96,8.96,390,8.96
252,7,8.96,8.96,8.96,8.96,195,8.96
252,7,8.96,8.96,8.96,8.96,195,8.96
252,7,8.96,8.96,8.96,8.96,0,8.96
252,7,8.96,8.96,8.96,8.96,0,8.96
252,7,8.95,8.95,8.95,8.95,5266,8.96
252,8,8.95,8.95,8.95,8.95,390,8.96
252,8,8.96,8.96,8.96,8.96,195,8.96
252,8,8.96,8.96,8.96,8.96,0,8.96
252,8,8.96,8.96,8.96,8.96,5825,8.96
252,8,8.97,8.97,8.96,8.96,198,8.96
252,8,8.96,8.96,8.96,8.96,390,8.96
252,8,8.96,8.96,8.96,8.96,195,8.96
252,8,8.96,8.96,8.96,8.96,195,8.96
252,8,8.96,8.96,8.96,8.96,195,8.96
252,8,8.96,8.96,8.96,8.96,0,8.96
252,8,8.96,8.96,8.96,8.96,195,8.96
252,8,8.97,8.97,8.97,8.97,2,8.96
252,8,8.96,8.97,8.96,8.97,257,8.96
252,9,8.95,8.95,8.95,8.95,390,8.96
252,9,8.96,8.96,8.96,8.96,1207,8.96
252,9,8.95,8.95,8.95,8.95,320,8.96
252,9,8.95,8.95,8.95,8.95,328,8.96
252,9,8.96,8.96,8.96,8.96,384,8.96
252,9,8.96,8.96,8.96,8.96,198,8.96
252,9,8.95,8.95,8.95,8.95,195,8.96
252,9,8.95,8.95,8.95,8.95,195,8.96
252,9,8.96,8.96,8.96,8.96,390,8.96
252,9,8.95,8.96,8.95,8.96,318,8.96
252,9,8.97,8.97,8.95,8.95,391,8.95
252,9,8.95,8.95,8.95,8.95,195,8.95
252,9,8.95,8.95,8.95,8.95,195,8.95
252,10,8.94,8.94,8.94,8.94,195,8.95
252,10,8.96,8.96,8.96,8.96,0,8.95
252,10,8.95,8.95,8.95,8.95,0,8.95
252,10,8.95,8.96,8.95,8.96,13,8.95
252,10,8.95,8.95,8.95,8.95,73,8.95
252,10,8.95,8.95,8.95,8.95,36,8.96
252,11,8.95,8.95,8.95,8.95,110,8.96
252,11,8.95,8.95,8.95,8.95,2244,8.97
252,11,8.95,8.95,8.95,8.95,1,8.98
252,12,8.96,8.96,8.96,8.96,46,8.98
252,12,8.95,8.95,8.95,8.95,3928,8.99
252,12,8.96,8.96,8.96,8.96,0,8.99
252,12,8.96,8.96,8.96,8.96,3,9.00
252,12,8.95,8.95,8.95,8.95,0,9.00
252,13,8.96,8.97,8.96,8.97,2267,9.01
252,13,8.97,8.97,8.97,8.97,3,9.02
252,13,8.97,8.99,8.97,8.97,8541,9.02
252,13,8.98,8.98,8.97,8.97,431,9.03
252,13,8.96,8.98,8.96,8.98,80,9.03
252,13,9.00,9.06,9.00,9.05,77107,9.04
252,13,9.06,9.06,9.06,9.06,47169,9.04
252,13,9.06,9.06,9.06,9.06,15723,9.05
252,13,9.07,9.07,9.06,9.06,803,9.06
252,13,9.05,9.05,9.05,9.05,8349,9.06
252,13,9.06,9.06,9.06,9.06,30181,9.07
252,13,9.08,9.08,9.08,9.08,0,9.06
252,14,9.08,9.08,9.08,9.08,11015,9.06
252,14,9.08,9.08,9.08,9.08,1,9.06
252,14,9.08,9.08,9.08,9.08,3,9.05
252,14,9.09,9.09,9.07,9.07,17,9.05
252,14,9.08,9.08,9.08,9.08,474,9.05
252,14,9.09,9.09,9.09,9.09,0,9.04
252,14,9.10,9.10,9.10,9.10,3,9.04
252,14,9.09,9.10,9.09,9.10,57656,9.03
252,14,9.10,9.10,9.10,9.10,0,9.03
252,14,9.09,9.09,9.09,9.09,3,9.03
252,15,9.10,9.10,9.10,9.10,8348,9.02
252,15,9.09,9.09,9.09,9.09,18,9.02
253,7,8.98,9.00,8.97,8.99,0,9.02
253,7,9.00,9.00,9.00,9.00,0,9.01
253,7,8.99,9.00,8.99,8.99,321,9.01
253,7,8.99,8.99,8.99,8.99,1,9.01
253,7,8.98,9.00,8.98,9.00,328,9.00
253,8,9.00,9.00,9.00,9.00,0,9.00
253,8,9.00,9.00,9.00,9.00,329,9.00
253,8,8.98,8.98,8.98,8.98,4,8.99
253,8,8.99,8.99,8.99,8.99,975,8.99
253,8,8.99,8.99,8.99,8.99,2,8.99
253,8,8.99,8.99,8.99,8.99,3,8.99
253,9,8.99,8.99,8.99,8.99,19,8.99
253,9,8.99,8.99,8.99,8.99,0,8.99
253,9,8.98,8.98,8.98,8.98,0,8.99
253,9,8.98,8.98,8.98,8.98,2,8.99
253,9,8.98,8.98,8.98,8.98,6,8.99
253,9,8.97,8.97,8.97,8.97,10442,8.99
253,10,8.98,8.99,8.98,8.99,129,8.99
253,10,8.99,8.99,8.99,8.99,2,8.99
253,11,8.99,8.99,8.99,8.99,1,8.99
253,11,8.99,8.99,8.99,8.99,0,8.99
253,11,8.99,8.99,8.99,8.99,0,8.99
253,11,8.99,8.99,8.99,8.99,0,8.99
253,11,8.99,8.99,8.99,8.99,11907,8.99
253,11,8.98,8.98,8.98,8.98,1,8.98
253,12,8.98,8.98,8.98,8.98,39,8.98
253,12,8.98,8.98,8.98,8.98,3342,8.98
253,12,8.99,8.99,8.99,8.99,0,8.99
253,12,9.01,9.01,9.01,9.01,21,8.99
253,12,9.00,9.00,9.00,9.00,0,8.99
253,13,8.98,8.98,8.98,8.98,12,8.99
253,13,9.00,9.02,9.00,9.02,66192,9.00
253,13,9.06,9.06,9.05,9.05,17556,9.00
253,13,9.10,9.11,9.10,9.11,2,9.00
253,13,9.12,9.12,9.12,9.12,13000,9.00
253,14,9.13,9.14,9.13,9.14,4661,9.01
253,14,9.12,9.12,9.12,9.12,3,9.01
253,14,9.11,9.11,9.11,9.11,8,9.01
253,14,9.10,9.10,9.10,9.10,2230,9.01
253,14,9.09,9.09,9.06,9.06,34981,9.02
253,14,9.07,9.07,9.07,9.07,0,9.02
253,14,9.06,9.06,9.06,9.06,1438,9.02
253,14,9.06,9.06,9.06,9.06,4360,9.02
253,14,9.04,9.04,9.04,9.04,0,9.03
253,14,9.03,9.03,9.03,9.03,150955,9.03
253,14,9.04,9.04,9.04,9.04,3797,9.03
253,14,9.04,9.04,9.04,9.04,13664,9.03
253,15,9.03,9.03,9.03,9.03,3,9.04
