dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,10.96,10.97,10.94,10.97,0,10.98
251,7,10.97,10.97,10.97,10.97,12,10.97
251,7,10.97,10.97,10.97,10.97,5,10.97
251,7,10.97,10.97,10.97,10.97,2,10.97
251,7,10.97,10.97,10.96,10.96,5,10.97
251,7,10.97,10.97,10.97,10.97,2,10.97
251,7,10.97,10.97,10.97,10.97,0,10.97
251,7,10.96,10.96,10.96,10.96,38,10.97
251,7,10.96,10.96,10.96,10.96,1,10.97
251,7,10.97,10.97,10.97,10.97,102868,10.97
251,7,10.97,10.97,10.97,10.97,24,10.97
251,7,10.97,10.97,10.96,10.96,2,10.97
251,7,10.97,10.97,10.97,10.97,1,10.97
251,7,10.97,10.97,10.97,10.97,4,10.97
251,7,10.97,10.97,10.97,10.97,0,10.97
251,7,10.96,10.96,10.96,10.96,5250,10.97
251,8,10.96,10.97,10.96,10.97,5251,10.97
251,8,10.97,10.97,10.97,10.97,5,10.97
251,8,10.96,10.97,10.96,10.96,1753,10.97
251,8,10.96,10.96,10.96,10.96,5250,10.96
251,8,10.96,10.96,10.96,10.96,130000,10.96
251,8,10.96,10.96,10.96,10.96,0,10.96
251,8,10.97,10.97,10.97,10.97,438,10.96
251,8,10.96,10.96,10.96,10.96,81,10.96
251,8,10.97,10.97,10.97,10.97,1384,10.96
251,8,10.97,10.97,10.97,10.97,0,10.96
251,9,10.96,10.96,10.96,10.96,15,10.96
251,9,10.96,10.96,10.96,10.96,0,10.96
251,9,10.96,10.96,10.96,10.96,88,10.96
251,9,10.96,10.96,10.96,10.96,0,10.96
251,9,10.96,10.96,10.96,10.96,201179,10.96
251,9,10.96,10.96,10.96,10.96,5777,10.96
251,9,10.96,10.96,10.96,10.96,0,10.96
251,10,10.96,10.96,10.96,10.96,3,10.96
251,10,10.96,10.96,10.96,10.96,3,10.96
251,10,10.96,10.96,10.96,10.96,4,10.96
251,10,10.96,10.96,10.96,10.96,0,10.96
251,10,10.96,10.96,10.96,10.96,9,10.96
251,10,10.96,10.96,10.96,10.96,221,10.96
251,11,10.96,10.96,10.96,10.96,1336,10.96
251,11,10.96,10.96,10.96,10.96,1250,10.96
251,11,10.96,10.96,10.96,10.96,0,10.96
251,11,10.96,10.96,10.96,10.96,1,10.95
251,12,10.96,10.96,10.96,10.96,3264,10.95
251,12,10.96,10.96,10.96,10.96,748,10.94
251,12,10.96,10.96,10.96,10.96,1653,10.94
251,13,10.97,10.97,10.97,10.97,541,10.94
251,13,10.97,10.97,10.97,10.97,15750,10.93
251,13,10.95,10.95,10.93,10.93,4730,10.93
251,13,10.90,10.90,10.90,10.90,56471,10.92
251,13,10.89,10.89,10.89,10.89,765,10.92
251,13,10.88,10.88,10.88,10.88,3,10.91
251,13,10.88,10.89,10.88,10.88,449,10.91
251,13,10.89,10.89,10.88,10.88,9756,10.90
251,13,10.87,10.87,10.85,10.85,10656,10.90
251,13,10.86,10.86,10.86,10.86,834,10.89
251,13,10.86,10.86,10.86,10.86,1742,10.89
251,13,10.88,10.88,10.88,10.88,5,10.89
251,13,10.88,10.88,10.88,10.88,78,10.88
251,14,10.88,10.88,10.88,10.88,1602,10.88
251,14,10.88,10.88,10.87,10.87,0,10.87
251,14,10.88,10.88,10.87,10.87,55,10.88
251,14,10.88,10.88,10.88,10.88,623,10.88
251,14,10.88,10.88,10.87,10.87,258097,10.89
251,14,10.88,10.88,10.88,10.88,1,10.89
251,14,10.88,10.88,10.88,10.88,1,10.89
251,14,10.87,10.88,10.87,10.88,32,10.90
251,14,10.88,10.88,10.88,10.88,2,10.90
251,14,10.89,10.89,10.89,10.89,13,10.91
251,14,10.89,10.90,10.89,10.90,123,10.91
251,14,10.89,10.89,10.89,10.89,27,10.92
251,14,10.91,10.91,10.91,10.91,5606,10.92
251,15,10.93,10.93,10.93,10.93,1897,10.93
251,15,10.93,10.93,10.93,10.93,601,10.93
251,15,10.93,10.93,10.93,10.93,7616,10.93
251,15,10.93,10.94,10.93,10.94,183,10.94
251,15,10.94,10.94,10.94,10.94,119,10.94
251,15,10.94,10.94,10.94,10.94,27253,10.95
251,15,10.93,10.93,10.93,10.93,1,10.95
251,15,10.93,10.93,10.93,10.93,399,10.96
252,7,10.97,10.97,10.95,10.97,1156,10.96
252,7,10.97,10.97,10.97,10.97,5,10.96
252,7,10.97,10.97,10.97,10.97,1,10.96
252,7,10.97,10.97,10.97,10.97,2,10.96
252,7,10.96,10.96,10.96,10.96,8,10.96
252,7,10.97,10.97,10.97,10.97,8,10.96
252,7,10.97,10.97,10.97,10.97,1329,10.96
252,7,10.97,10.97,10.97,10.97,219,10.96
252,7,10.97,10.97,10.97,10.97,4,10.96
252,7,10.98,10.98,10.98,10.98,11,10.96
252,7,10.97,10.97,10.97,10.97,2113,10.96
252,7,10.97,10.97,10.97,10.97,10668,10.96
252,7,10.96,10.96,10.96,10.96,1,10.96
252,7,10.96,10.96,10.96,10.96,2,10.96
252,8,10.96,10.96,10.96,10.96,14,10.96
252,8,10.96,10.96,10.96,10.96,908,10.96
252,8,10.96,10.96,10.96,10.96,4,10.96
252,8,10.96,10.96,10.96,10.96,2,10.96
252,8,10.96,10.96,10.96,10.96,707,10.96
252,8,10.96,10.96,10.96,10.96,0,10.96
252,9,10.96,10.96,10.96,10.96,1,10.96
252,9,10.96,10.96,10.96,10.96,0,10.97
252,9,10.96,10.96,10.96,10.96,101,10.97
252,9,10.96,10.96,10.96,10.96,2,10.97
252,10,10.96,10.96,10.96,10.96,49,10.97
252,11,10.97,10.97,10.97,10.97,194,10.97
252,11,10.98,10.98,10.98,10.98,1420,10.97
252,11,10.99,10.99,10.99,10.99,573,10.97
252,11,10.99,10.99,10.99,10.99,1,10.97
252,11,10.99,10.99,10.99,10.99,24,10.98
252,11,10.98,10.98,10.98,10.98,0,10.98
252,11,10.99,10.99,10.99,10.99,2,10.98
