dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,38.54,38.56,38.51,38.56,33,38.56
251,7,38.54,38.57,38.54,38.56,2,38.56
251,7,38.56,38.56,38.52,38.56,185,38.56
251,7,38.56,38.58,38.54,38.58,409,38.56
251,7,38.56,38.58,38.56,38.58,34,38.57
251,7,38.56,38.59,38.55,38.59,16,38.57
251,7,38.56,38.59,38.55,38.55,49,38.57
251,7,38.59,38.59,38.56,38.56,2831,38.57
251,7,38.56,38.57,38.56,38.57,8799,38.57
251,7,38.60,38.60,38.56,38.59,10173,38.57
251,7,38.60,38.60,38.59,38.59,684,38.58
251,7,38.59,38.60,38.58,38.60,195,38.58
251,7,38.60,38.60,38.57,38.59,39,38.58
251,7,38.60,38.60,38.60,38.60,146,38.58
251,7,38.56,38.59,38.56,38.58,956,38.58
251,7,38.57,38.57,38.57,38.57,774,38.58
251,7,38.56,38.59,38.56,38.59,12982,38.58
251,7,38.58,38.60,38.58,38.58,44,38.59
251,7,38.58,38.60,38.58,38.60,52,38.59
251,7,38.60,38.60,38.57,38.58,549,38.59
251,7,38.59,38.59,38.58,38.59,548,38.59
251,7,38.60,38.60,38.60,38.60,2,38.59
251,7,38.59,38.60,38.59,38.59,51,38.59
251,7,38.59,38.59,38.59,38.59,6,38.59
251,7,38.59,38.59,38.59,38.59,13,38.59
251,7,38.58,38.58,38.58,38.58,1,38.59
251,7,38.57,38.57,38.57,38.57,5,38.59
251,7,38.56,38.56,38.54,38.56,7,38.59
251,8,38.58,38.58,38.53,38.56,1746,38.59
251,8,38.56,38.56,38.53,38.53,2840,38.58
251,8,38.56,38.57,38.56,38.57,2225,38.58
251,8,38.57,38.57,38.57,38.57,100,38.58
251,8,38.57,38.57,38.57,38.57,14,38.58
251,8,38.58,38.58,38.56,38.56,1161,38.58
251,8,38.59,38.59,38.59,38.59,22350,38.58
251,8,38.58,38.58,38.58,38.58,1901,38.58
251,8,38.59,38.59,38.57,38.58,22,38.58
251,8,38.59,38.59,38.59,38.59,2,38.58
251,8,38.59,38.59,38.59,38.59,955,38.58
251,8,38.58,38.58,38.56,38.57,1260,38.58
251,8,38.57,38.58,38.57,38.58,1014,38.58
251,8,38.58,38.58,38.58,38.58,1,38.58
251,8,38.58,38.58,38.58,38.58,2,38.58
251,8,38.59,38.59,38.57,38.57,102,38.58
251,8,38.59,38.59,38.57,38.59,304,38.58
251,8,38.57,38.59,38.57,38.59,18,38.58
251,8,38.59,38.59,38.59,38.59,109,38.58
251,8,38.59,38.59,38.59,38.59,2,38.58
251,8,38.58,38.58,38.58,38.58,1,38.58
251,8,38.60,38.60,38.58,38.59,125,38.59
251,8,38.59,38.59,38.59,38.59,10,38.59
251,8,38.59,38.59,38.59,38.59,28,38.59
251,9,38.57,38.59,38.57,38.59,2,38.59
251,9,38.59,38.59,38.59,38.59,6,38.59
251,9,38.57,38.58,38.57,38.58,205,38.59
251,9,38.58,38.58,38.58,38.58,3,38.59
251,9,38.57,38.57,38.57,38.57,2,38.59
251,9,38.59,38.59,38.56,38.59,10,38.59
251,9,38.59,38.59,38.59,38.59,73,38.59
251,9,38.59,38.59,38.57,38.57,192,38.59
251,9,38.59,38.60,38.57,38.60,524,38.59
251,9,38.59,38.61,38.59,38.61,1254,38.60
251,9,38.58,38.58,38.58,38.58,446,38.60
251,9,38.61,38.61,38.61,38.61,77,38.60
251,9,38.59,38.61,38.59,38.61,525,38.60
251,9,38.60,38.60,38.60,38.60,1,38.61
251,9,38.61,38.61,38.61,38.61,107,38.61
251,9,38.61,38.61,38.61,38.61,31,38.61
251,9,38.61,38.61,38.61,38.61,3,38.61
251,9,38.62,38.62,38.62,38.62,2,38.62
251,9,38.61,38.61,38.61,38.61,152,38.62
251,9,38.63,38.63,38.63,38.63,106,38.62
251,9,38.64,38.64,38.63,38.63,23,38.62
251,9,38.63,38.63,38.63,38.63,22,38.62
251,9,38.64,38.64,38.64,38.64,2512,38.63
251,9,38.62,38.62,38.62,38.62,3,38.63
251,9,38.62,38.65,38.62,38.62,152,38.63
251,9,38.66,38.66,38.66,38.66,34008,38.63
251,9,38.66,38.66,38.62,38.62,9874,38.64
251,9,38.64,38.64,38.64,38.64,172,38.64
251,10,38.64,38.64,38.64,38.64,0,38.64
251,10,38.65,38.65,38.65,38.65,1,38.64
251,10,38.62,38.62,38.62,38.62,15,38.64
251,10,38.65,38.65,38.65,38.65,25,38.65
251,10,38.66,38.66,38.66,38.66,34,38.65
251,10,38.66,38.66,38.66,38.66,1,38.65
251,10,38.66,38.67,38.66,38.67,27,38.65
251,10,38.66,38.66,38.66,38.66,18,38.65
251,10,38.66,38.67,38.66,38.67,116,38.66
251,10,38.64,38.64,38.64,38.64,40,38.66
251,10,38.65,38.65,38.65,38.65,536,38.66
251,10,38.68,38.68,38.65,38.67,7,38.66
251,10,38.64,38.64,38.64,38.64,3,38.66
251,10,38.68,38.68,38.68,38.68,2,38.66
251,10,38.67,38.67,38.66,38.66,13,38.67
251,10,38.68,38.68,38.68,38.68,2,38.67
251,10,38.66,38.66,38.66,38.66,80,38.67
251,10,38.68,38.68,38.68,38.68,40,38.67
251,10,38.68,38.69,38.68,38.69,28,38.67
251,10,38.68,38.68,38.67,38.67,16,38.68
251,10,38.68,38.68,38.68,38.68,3,38.68
251,10,38.68,38.68,38.68,38.68,6,38.68
251,10,38.68,38.68,38.67,38.67,20,38.68
251,10,38.65,38.65,38.65,38.65,16,38.67
251,10,38.66,38.66,38.66,38.66,1,38.67
