dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
303,8,20.79,20.88,20.74,20.78,0,20.78
303,9,20.80,20.84,20.80,20.82,995,20.79
303,10,20.81,20.83,20.78,20.80,6112,20.79
303,11,20.80,20.84,20.80,20.82,6504,20.80
303,12,20.81,20.81,20.77,20.77,38641,20.80
303,13,20.80,20.93,20.73,20.93,0,20.81
303,14,20.91,20.91,20.71,20.73,79871,20.82
303,15,20.79,20.82,20.71,20.82,10990,20.82
303,16,20.78,20.78,20.73,20.74,4440,20.83
304,8,20.77,20.88,20.75,20.88,0,20.83
304,9,20.89,20.89,20.83,20.86,0,20.84
304,10,20.89,20.89,20.88,20.89,20728,20.84
304,11,20.89,20.90,20.89,20.89,17917,20.85
304,12,20.89,20.93,20.84,20.86,2379,20.86
304,13,20.86,20.86,20.66,20.71,14682,20.86
304,14,20.71,20.86,20.70,20.84,16040,20.87
304,15,20.87,20.87,20.80,20.80,50219,20.87
304,16,20.84,20.85,20.82,20.84,2828,20.88
305,8,20.91,21.00,20.90,20.90,0,20.88
305,9,20.93,20.93,20.89,20.89,2742,20.89
305,10,20.88,20.91,20.86,20.91,465,20.89
305,11,20.91,20.91,20.86,20.86,2981,20.94
305,12,20.90,21.02,20.89,21.00,0,20.99
305,13,20.98,21.16,20.98,21.11,29662,21.03
305,14,21.13,21.29,21.10,21.25,9325,21.08
305,15,21.25,21.27,21.20,21.25,76258,21.12
305,16,21.24,21.24,21.19,21.19,812,21.17
306,8,21.54,21.59,21.54,21.58,0,21.21
306,9,21.59,21.61,21.58,21.58,11137,21.26
306,10,21.59,21.61,21.57,21.61,2977,21.30
306,11,21.61,21.63,21.59,21.62,1552,21.35
306,12,21.61,21.72,21.61,21.70,15115,21.39
306,13,21.70,21.70,21.63,21.64,33516,21.44
306,14,21.67,21.77,21.62,21.75,10474,21.49
306,15,21.77,21.77,21.70,21.72,20777,21.53
306,16,21.70,21.70,21.68,21.70,11964,21.58
307,8,21.75,21.75,21.62,21.62,0,21.62
307,9,21.62,21.62,21.61,21.62,1537,21.67
307,10,21.65,21.65,21.62,21.63,2687,21.71
307,11,21.63,21.70,21.61,21.70,11012,21.76
307,12,21.69,21.82,21.66,21.79,8511,21.80
307,13,21.79,21.95,21.75,21.95,12507,21.83
307,14,21.93,21.93,21.84,21.86,19413,21.86
307,15,21.93,21.95,21.89,21.95,18635,21.89
307,16,21.96,22.04,21.95,22.03,14238,21.91
310,8,22.08,22.12,22.06,22.09,0,21.94
310,9,22.09,22.11,22.07,22.11,3412,21.97
310,10,22.12,22.13,22.09,22.10,10006,22.00
310,11,22.10,22.12,22.09,22.11,8905,22.03
310,12,22.10,22.11,22.09,22.09,15275,22.05
310,13,22.09,22.09,22.06,22.07,5692,22.08
310,14,22.07,22.18,22.07,22.15,90752,22.11
310,15,22.18,22.19,22.12,22.16,16331,22.14
310,16,22.17,22.20,22.17,22.18,29304,22.16
311,8,22.16,22.20,22.14,22.20,0,22.19
311,9,22.20,22.21,22.17,22.18,84590,22.22
311,10,22.16,22.20,22.16,22.19,14655,22.25
311,11,22.19,22.19,22.15,22.17,2765,22.27
311,12,22.20,22.22,22.19,22.20,4069,22.30
311,13,22.22,22.25,22.21,22.25,11560,22.33
311,14,22.23,22.34,22.23,22.34,69495,22.36
311,15,22.36,22.51,22.33,22.49,43161,22.37
311,16,22.49,22.49,22.47,22.48,72446,22.39
312,8,22.43,22.47,22.39,22.44,0,22.41
312,9,22.43,22.45,22.43,22.45,525,22.42
312,10,22.45,22.48,22.45,22.45,1796,22.44
312,11,22.48,22.49,22.46,22.46,5910,22.46
312,12,22.46,22.48,22.46,22.46,617,22.47
312,13,22.47,22.49,22.46,22.48,27479,22.49
312,14,22.48,22.62,22.48,22.61,52561,22.51
312,15,22.52,22.57,22.50,22.50,6492,22.52
312,16,22.52,22.54,22.50,22.53,42488,22.54
313,8,22.61,22.70,22.60,22.60,0,22.55
313,9,22.59,22.59,22.57,22.59,4050,22.57
313,10,22.61,22.62,22.59,22.61,920,22.59
313,11,22.62,22.62,22.55,22.55,360,22.60
313,12,22.59,22.61,22.57,22.61,2831,22.62
313,13,22.62,22.66,22.61,22.66,4195,22.64
313,14,22.62,22.72,22.62,22.71,23689,22.65
313,15,22.70,22.71,22.62,22.70,15278,22.67
313,16,22.71,22.78,22.71,22.77,2680,22.69
314,8,22.69,22.69,22.52,22.54,0,22.71
314,9,22.53,22.56,22.48,22.53,1893,22.72
314,10,22.52,22.52,22.48,22.52,11088,22.74
314,11,22.52,22.52,22.46,22.50,6095,22.76
314,12,22.51,22.59,22.51,22.59,33026,22.78
314,13,22.59,22.66,22.57,22.66,185842,22.80
314,14,22.64,22.80,22.64,22.75,38586,22.82
314,15,22.75,22.77,22.70,22.77,47124,22.84
314,16,22.80,22.89,22.80,22.89,3532,22.86
317,8,23.02,23.07,22.99,23.04,0,22.87
317,9,23.02,23.02,23.00,23.02,3365,22.89
317,10,23.02,23.05,23.00,23.05,146191,22.91
317,11,23.07,23.07,23.05,23.06,3982,22.93
317,12,23.06,23.07,23.05,23.07,25525,22.95
317,13,23.05,23.08,23.02,23.02,7774,22.97
317,14,23.01,23.05,22.89,22.92,51118,22.99
317,15,22.93,22.99,22.91,22.96,173564,23.00
317,16,23.00,23.02,23.00,23.02,14431,23.02
318,8,23.07,23.09,23.02,23.07,0,23.04
