dayoftheyear,open,high,low,close,WLLDE
0,95.66,96.07,94.45,94.91,94.89
1,94.49,94.60,93.25,93.51,93.63
2,93.65,93.81,91.85,92.26,93.06
3,92.87,93.67,92.65,93.45,93.64
4,94.24,95.42,94.14,95.24,94.48
5,95.53,95.56,94.06,94.61,94.44
6,94.80,94.90,93.39,93.62,93.89
7,94.54,95.53,92.84,93.60,93.46
8,92.66,93.56,92.26,93.08,92.93
9,93.51,93.66,91.76,91.87,92.56
10,91.75,93.07,91.61,92.95,92.93
11,93.51,93.93,92.46,93.69,93.65
12,93.41,94.61,93.08,94.17,94.50
13,94.54,96.01,93.71,95.91,95.46
14,95.90,96.42,95.63,96.12,95.87
15,96.01,96.19,95.52,96.01,95.32
16,94.50,94.56,93.21,93.52,94.12
17,95.03,95.13,93.03,93.04,93.50
18,92.97,94.11,92.16,93.94,93.54
19,93.86,94.58,93.08,93.21,93.64
20,93.42,94.10,91.97,94.02,94.07
21,94.36,94.99,93.75,94.92,94.65
22,94.54,95.47,94.33,94.84,95.03
23,95.08,95.73,94.84,95.66,95.26
24,95.81,96.04,94.74,95.08,95.19
25,94.71,95.23,94.55,94.78,95.31
26,95.30,96.38,95.16,96.25,96.00
27,96.36,96.82,96.18,96.60,96.79
28,97.23,97.77,97.08,97.73,97.64
29,98.00,98.58,97.82,98.57,98.32
30,98.57,98.72,98.32,98.66,98.66
31,98.54,98.85,98.41,98.80,98.92
32,98.73,99.35,98.70,99.29,99.33
33,99.22,100.00,98.91,99.95,99.78
34,99.89,100.08,99.67,100.05,100.01
35,99.92,100.25,99.62,100.12,100.05
36,99.98,100.36,99.66,99.88,100.07
37,99.98,100.44,99.70,100.38,100.16
38,100.35,100.41,99.78,99.94,100.28
39,100.13,100.88,100.12,100.84,100.46
40,100.54,100.64,99.74,100.37,100.37
41,100.04,100.19,99.44,99.99,100.12
42,100.25,100.47,99.75,100.16,99.82
43,100.03,100.23,98.78,99.03,99.34
44,99.23,99.56,98.83,99.31,98.74
45,98.60,98.63,97.47,97.47,97.84
46,97.62,97.74,96.87,96.91,97.30
47,96.83,97.65,96.77,97.54,97.32
48,97.45,97.84,96.51,97.12,97.57
49,97.48,98.41,97.38,98.37,98.12
50,98.11,98.69,97.88,98.53,98.71
51,98.26,99.95,97.75,99.50,99.29
52,99.60,99.92,99.45,99.64,99.74
53,100.47,100.79,100.27,100.29,100.03
54,100.23,100.51,100.06,100.10,99.93
55,100.09,100.55,99.72,99.74,99.20
56,99.89,99.98,97.42,97.45,98.03
57,96.65,97.67,96.33,97.12,97.45
58,97.10,97.74,96.95,97.51,97.69
59,98.10,98.71,98.10,98.63,97.99
60,98.35,98.55,97.56,97.58,97.69
61,97.58,97.60,96.45,97.08,97.30
62,97.17,97.45,96.83,97.14,97.36
63,96.57,98.20,96.42,97.93,97.70
64,97.88,98.60,97.77,97.77,98.02
65,97.81,98.68,97.80,98.54,98.52
66,98.50,99.20,98.17,99.16,99.06
67,99.13,99.58,98.90,99.57,99.35
