dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,5170.00,5171.00,5167.99,5170.00,705,5170.02
251,7,5170.00,5171.00,5170.00,5171.00,5031,5170.92
251,7,5172.00,5174.00,5171.55,5171.55,2517,5171.83
251,7,5171.00,5174.00,5169.00,5174.00,815,5172.73
251,7,5170.00,5175.00,5169.00,5171.00,1197,5173.64
251,7,5169.00,5178.15,5169.00,5171.00,1623,5174.54
251,7,5171.00,5179.00,5168.00,5178.00,1403,5175.45
251,7,5178.00,5179.51,5170.00,5173.00,669,5176.35
251,7,5181.00,5182.00,5170.00,5182.00,356,5177.26
251,7,5183.48,5185.00,5172.00,5175.00,612,5178.16
251,7,5183.32,5185.00,5167.00,5168.00,2093,5179.07
251,7,5168.00,5187.00,5166.00,5186.00,2872,5179.97
251,7,5169.00,5184.00,5166.00,5171.00,3982,5180.88
251,7,5171.00,5185.81,5168.00,5169.00,3871,5181.78
251,7,5172.00,5200.00,5169.00,5179.00,3710,5182.68
251,7,5179.00,5187.00,5177.00,5185.00,123,5183.59
251,7,5188.00,5188.00,5186.00,5186.00,34191,5184.49
251,7,5189.00,5189.00,5176.00,5182.00,462,5185.40
251,7,5182.00,5200.00,5170.00,5187.00,1319,5186.30
251,7,5187.00,5190.00,5181.00,5190.00,3313,5187.21
251,7,5187.00,5189.00,5187.00,5188.00,69,5188.11
251,7,5188.00,5189.00,5186.00,5187.00,68,5188.27
251,7,5187.00,5189.00,5186.00,5186.00,388,5188.43
251,7,5189.00,5189.00,5185.00,5187.00,67,5188.58
251,7,5185.00,5186.00,5183.00,5185.00,315,5188.74
251,7,5186.00,5186.00,5183.00,5184.00,385,5188.89
251,7,5184.00,5186.00,5182.00,5186.00,526,5189.05
251,7,5185.00,5185.00,5182.00,5184.00,283,5189.21
251,7,5184.00,5185.00,5182.00,5185.00,470,5189.36
251,7,5185.00,5187.00,5185.00,5185.00,99,5189.52
251,8,5185.00,5187.00,5182.00,5184.00,70,5189.67
251,8,5182.00,5184.00,5181.00,5183.00,1782,5189.83
251,8,5183.00,5183.00,5179.32,5182.00,2232,5189.99
251,8,5182.00,5183.00,5180.00,5182.00,104,5190.14
251,8,5182.00,5183.00,5180.00,5183.00,903,5190.30
251,8,5183.00,5183.00,5181.00,5183.00,20,5190.45
251,8,5183.00,5184.00,5182.00,5184.00,807,5190.61
251,8,5183.00,5184.00,5181.00,5181.00,83,5190.77
251,8,5184.00,5186.00,5182.00,5184.00,330,5190.92
251,8,5185.00,5188.00,5184.00,5188.00,39,5191.08
251,8,5189.00,5192.00,5187.00,5192.00,136,5191.23
251,8,5192.00,5196.00,5192.00,5194.00,2066,5191.05
251,8,5193.30,5194.00,5191.00,5193.00,376,5190.86
251,8,5191.00,5193.00,5189.00,5189.00,5411,5190.68
251,8,5189.00,5193.00,5189.00,5191.00,757,5190.49
251,8,5193.00,5195.00,5189.00,5195.00,1276,5190.31
251,8,5195.00,5196.00,5191.00,5193.00,631,5190.12
251,8,5193.00,5194.00,5191.00,5191.00,678,5189.93
251,8,5193.00,5193.00,5190.00,5192.00,1656,5189.75
251,8,5192.00,5195.00,5191.00,5195.00,792,5189.56
251,8,5195.00,5195.00,5190.00,5190.00,150,5189.38
251,8,5192.00,5195.00,5190.00,5195.00,2165,5189.19
251,8,5196.00,5196.00,5191.00,5191.00,436,5189.00
251,8,5194.00,5194.00,5190.00,5193.00,783,5188.82
251,8,5192.60,5193.00,5190.00,5193.00,424,5188.63
251,8,5191.00,5193.00,5189.28,5193.00,354,5188.45
251,8,5193.00,5194.00,5191.00,5194.00,198,5188.26
251,8,5194.00,5195.00,5190.00,5193.00,96,5188.08
251,8,5193.00,5193.00,5188.00,5188.00,565,5187.89
251,8,5191.00,5191.00,5188.00,5189.00,861,5187.70
