dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
303,8,3207.00,3209.00,3205.00,3206.00,0,3205.61
303,9,3202.00,3202.00,3200.00,3200.00,0,3204.30
303,10,3202.00,3205.00,3200.00,3201.00,18021,3202.98
303,11,3200.00,3200.00,3200.00,3200.00,7329,3201.66
303,12,3203.00,3207.00,3203.00,3207.00,1027,3200.34
303,13,3210.00,3210.00,3201.00,3204.00,15138,3199.02
303,14,3210.00,3210.00,3199.00,3199.00,718,3197.70
303,15,3202.00,3202.00,3197.00,3199.00,5498,3196.38
303,16,3205.00,3205.00,3205.00,3205.00,0,3195.06
304,8,3197.00,3197.00,3192.00,3194.00,0,3193.74
304,9,3191.00,3193.00,3190.00,3193.00,6089,3192.42
304,10,3189.00,3192.00,3187.00,3192.00,4066,3191.10
304,11,3191.00,3193.00,3188.00,3193.00,397,3189.78
304,12,3196.00,3198.00,3194.00,3195.00,7121,3188.46
304,13,3197.00,3212.00,3195.00,3210.00,3881,3187.14
304,14,3210.00,3214.00,3209.00,3210.00,9163,3185.82
304,15,3204.00,3204.00,3199.00,3202.00,9756,3184.50
304,16,3193.00,3193.00,3193.00,3193.00,0,3183.18
305,8,3167.00,3176.79,3167.00,3176.79,0,3181.86
305,9,3177.00,3177.00,3177.00,3177.00,0,3180.54
305,10,3179.00,3179.00,3178.00,3178.00,612,3179.22
305,11,3179.00,3184.00,3179.00,3183.00,21725,3178.35
305,12,3183.00,3185.00,3182.00,3185.00,11790,3177.49
305,13,3190.00,3190.00,3190.00,3190.00,1238,3176.62
305,14,3193.00,3194.00,3185.00,3188.00,20695,3175.75
305,15,3182.00,3184.00,3176.00,3176.00,5563,3174.88
305,16,3177.00,3177.00,3173.00,3174.00,2453,3174.02
306,8,3176.00,3177.00,3176.00,3177.00,0,3173.15
306,9,3180.00,3180.00,3175.00,3175.00,1091,3172.28
306,10,3176.00,3176.00,3173.00,3174.00,1967,3171.42
306,11,3174.00,3175.00,3173.00,3174.00,1988,3170.55
306,12,3167.16,3171.00,3167.16,3171.00,3163,3169.68
306,13,3168.18,3169.00,3165.00,3169.00,3198,3168.81
306,14,3165.00,3171.00,3165.00,3171.00,11268,3167.95
306,15,3169.00,3172.00,3168.00,3169.00,1349,3167.08
306,16,3167.00,3167.00,3166.00,3167.00,3543,3166.21
307,8,3169.00,3174.00,3169.00,3174.00,0,3165.35
307,9,3174.00,3174.00,3170.00,3170.00,18882,3164.48
307,10,3171.00,3171.00,3165.00,3165.00,0,3163.61
307,11,3167.00,3167.00,3163.00,3164.00,6531,3162.74
307,12,3164.00,3171.00,3160.00,3169.00,7862,3161.88
307,13,3152.00,3153.00,3140.00,3149.00,9343,3159.20
307,14,3148.00,3148.00,3143.00,3144.00,0,3156.52
307,15,3144.00,3144.00,3135.00,3135.00,6487,3153.84
307,16,3130.00,3130.00,3129.00,3130.00,0,3151.16
310,8,3119.00,3119.00,3115.00,3115.00,0,3148.48
310,9,3113.00,3118.00,3113.00,3118.00,13501,3145.80
310,10,3117.00,3117.00,3113.00,3116.00,7182,3143.12
310,11,3115.00,3116.00,3112.00,3114.00,11186,3140.44
310,12,3112.00,3114.00,3110.00,3114.00,3172,3137.76
310,13,3117.00,3123.00,3117.00,3123.00,1386,3135.09
310,14,3121.00,3122.00,3117.00,3118.00,8817,3132.41
310,15,3122.00,3122.00,3111.00,3111.00,3787,3129.73
310,16,3114.00,3114.00,3111.00,3114.00,6796,3127.05
311,8,3113.00,3113.00,3107.00,3108.00,0,3124.37
311,9,3103.00,3111.00,3103.00,3111.00,1294,3121.69
311,10,3109.00,3111.00,3109.00,3111.00,6934,3119.01
311,11,3110.00,3111.00,3110.00,3111.00,2557,3116.33
311,12,3107.00,3107.00,3099.00,3101.00,3621,3113.65
311,13,3105.00,3109.00,3103.00,3109.00,1871,3110.97
311,14,3113.00,3113.00,3108.00,3108.00,215,3108.29
311,15,3109.00,3109.00,3105.00,3107.00,7515,3108.45
312,8,3119.00,3123.00,3119.00,3122.00,0,3108.60
312,9,3125.00,3125.00,3122.00,3123.00,11849,3108.75
312,10,3120.00,3120.00,3114.00,3114.00,0,3108.90
312,11,3115.00,3118.00,3115.00,3117.00,4553,3109.06
312,12,3116.00,3117.00,3114.00,3117.00,2713,3109.21
312,13,3119.00,3119.00,3115.00,3119.00,2318,3109.36
312,14,3118.00,3118.00,3107.00,3107.00,3623,3109.51
312,15,3102.00,3103.00,3101.00,3103.00,2983,3109.67
312,16,3094.00,3097.84,3093.00,3096.00,2630,3109.82
313,8,3088.00,3089.00,3084.00,3087.00,0,3109.97
313,9,3082.00,3082.00,3079.00,3079.00,575,3110.12
313,10,3080.00,3088.00,3079.00,3087.00,5816,3110.28
313,11,3087.00,3093.00,3087.00,3092.00,14345,3110.43
313,12,3094.00,3094.00,3088.00,3088.00,10772,3110.58
313,13,3088.00,3093.00,3088.00,3093.00,4510,3110.73
313,14,3092.00,3102.00,3092.00,3101.00,6630,3110.89
313,15,3100.00,3111.00,3100.00,3109.00,5453,3111.04
