dayoftheyear,open,high,low,close,WLLDE
0,171.88,172.30,170.05,171.09,170.99
1,170.04,170.21,167.70,168.00,168.55
2,168.31,168.84,165.62,166.42,167.67
3,167.75,168.84,167.30,168.50,168.76
4,169.91,171.70,169.89,171.49,170.14
5,171.90,171.92,169.50,170.11,169.98
6,170.24,170.40,168.17,168.78,169.02
7,170.00,171.13,167.00,168.30,168.15
8,166.28,167.49,165.38,167.29,167.25
9,167.93,168.25,165.64,165.75,166.84
10,165.55,168.09,165.36,167.93,167.52
11,168.57,168.84,166.71,168.29,168.44
12,167.82,169.62,167.35,169.14,169.55
13,169.89,171.78,168.51,171.65,170.67
14,171.39,171.65,170.58,170.71,170.89
15,170.49,171.20,169.78,171.11,170.32
16,169.04,170.00,168.02,168.85,168.92
17,170.04,170.14,166.50,166.69,167.73
18,166.89,168.49,165.47,168.23,167.38
19,167.05,168.38,165.85,166.11,167.31
20,166.61,168.26,164.79,168.17,168.33
21,169.07,170.61,168.69,170.60,169.73
22,169.84,171.05,169.50,169.95,170.49
23,170.62,171.82,170.54,171.67,171.05
24,172.03,172.60,170.67,171.19,171.12
25,170.54,171.27,170.02,170.43,171.17
26,171.47,172.50,170.47,172.24,171.86
27,172.08,172.78,171.43,172.34,172.74
28,173.14,174.06,172.38,174.00,173.74
29,174.12,174.77,173.87,174.72,174.53
30,174.40,175.17,174.15,174.99,174.89
31,174.62,175.08,174.35,175.01,175.00
32,174.41,175.25,174.27,174.88,175.21
33,174.47,176.01,173.84,175.93,175.66
34,175.68,175.91,175.30,175.91,176.01
35,175.83,176.61,175.53,176.41,176.22
36,176.28,176.76,175.92,176.26,176.20
37,176.17,176.32,175.44,176.05,175.99
38,175.95,176.22,175.40,175.45,175.90
39,175.55,176.62,175.50,176.56,176.04
40,176.12,176.61,174.97,175.83,175.79
41,175.23,175.31,174.12,175.09,175.28
42,175.42,175.57,174.78,175.28,174.60
43,174.42,174.85,172.49,172.82,173.59
44,173.02,173.89,172.86,173.53,172.64
45,172.16,172.24,170.68,170.72,171.45
46,170.98,171.15,170.24,170.32,171.11
47,170.95,172.55,170.90,172.49,171.70
48,172.21,173.18,170.39,171.43,172.26
49,172.16,173.81,171.45,173.72,173.05
50,172.98,173.58,172.38,173.20,173.81
51,172.73,175.96,172.09,175.28,174.56
52,174.87,175.29,174.09,174.48,175.04
53,175.44,176.53,175.25,176.02,175.48
54,176.03,176.61,175.68,175.68,175.34
55,175.56,176.01,174.63,174.69,174.25
56,174.90,175.14,172.09,172.13,172.79
57,171.46,172.64,170.76,171.72,172.13
58,171.61,172.29,171.41,172.12,172.55
59,173.15,174.52,173.14,174.22,173.17
60,173.39,174.09,172.63,172.69,172.89
61,172.66,172.69,171.09,172.08,172.53
62,172.02,173.15,171.83,172.70,172.86
63,171.81,174.38,171.67,173.87,173.41
64,173.89,174.64,173.37,173.41,173.68
65,173.63,174.43,173.24,173.99,174.09
66,173.82,175.00,173.33,174.76,174.76
67,175.01,175.76,174.81,175.71,175.21
68,175.57,176.21,174.87,174.92,175.23
69,174.72,175.44,174.09,175.25,175.40
70,175.72,176.55,175.64,176.04,175.72
71,175.71,176.50,175.50,175.99,175.47
72,174.79,175.04,173.18,173.97,174.97
73,174.89,175.89,174.81,175.56,175.17
74,176.24,176.40,175.04,175.35,175.60
75,175.69,176.39,174.76,176.21,176.11
76,175.81,177.30,175.69,176.65,176.58
77,177.07,177.33,176.61,177.06,176.74
78,177.63,177.75,176.13,176.32,176.64
79,176.30,176.94,175.12,176.88,176.49
80,175.99,176.76,175.35,176.16,175.92
81,175.58,175.97,173.69,174.39,175.45
82,175.18,176.32,175.08,176.28,175.89
83,176.71,177.37,176.60,176.78,175.98
84,176.54,176.90,174.62,174.76,175.13
85,175.31,175.62,172.97,174.04,174.60
86,173.94,175.16,173.61,174.74,175.18
87,176.42,177.24,176.33,177.04,176.11
88,176.99,177.26,176.12,176.19,176.19
89,175.35,176.21,174.53,175.66,175.92
90,176.07,176.70,175.46,175.70,176.23
