dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,87.88,88.63,87.54,87.88,4,87.89
251,7,88.14,88.14,88.14,88.14,0,87.91
251,8,88.16,88.16,88.16,88.16,2,87.93
251,11,88.17,88.17,88.17,88.17,1,87.95
251,11,88.15,88.15,88.15,88.15,294,87.97
251,12,88.08,88.08,88.08,88.08,0,87.99
251,12,88.11,88.11,88.11,88.11,1730,88.01
251,13,88.12,88.12,88.12,88.12,0,88.02
251,13,88.14,88.14,88.14,88.14,340,88.04
251,13,88.18,88.18,88.18,88.18,0,88.06
251,14,87.93,87.93,87.93,87.93,3,88.08
251,14,87.83,87.83,87.83,87.83,1,88.10
251,14,87.83,87.85,87.83,87.85,215,88.12
251,15,88.18,88.22,88.18,88.22,0,88.14
252,7,88.96,88.96,88.96,88.96,0,88.15
252,7,88.33,88.33,88.33,88.33,0,88.17
252,9,88.19,88.19,88.19,88.19,5,88.19
252,11,88.27,88.27,88.27,88.27,206,88.21
252,12,88.24,88.24,88.24,88.24,92,88.23
252,12,88.24,88.24,88.24,88.24,0,88.25
252,13,88.18,88.18,88.18,88.18,2,88.27
252,14,88.39,88.39,88.39,88.39,14,88.33
252,15,88.69,88.69,88.69,88.69,0,88.39
253,7,88.37,88.37,88.37,88.37,0,88.45
253,7,88.49,88.49,88.49,88.49,0,88.51
253,7,88.64,88.64,88.64,88.64,224,88.57
253,12,88.38,88.38,88.37,88.37,0,88.63
253,13,88.62,88.62,88.62,88.62,2334,88.69
253,13,88.61,88.61,88.61,88.61,0,88.75
253,13,88.87,88.87,88.87,88.87,0,88.81
253,14,88.77,88.77,88.77,88.77,1300,88.87
253,14,88.70,88.70,88.70,88.70,55,88.93
253,14,88.69,88.69,88.50,88.50,4189,88.98
254,7,89.10,89.10,89.10,89.10,0,89.04
254,7,88.56,88.56,88.56,88.56,0,89.10
254,8,88.58,88.58,88.58,88.58,0,89.16
254,9,88.58,88.58,88.58,88.58,340,89.22
254,11,88.61,88.61,88.61,88.61,1462,89.28
254,12,88.61,89.39,88.61,89.39,410,89.34
255,7,90.08,90.08,88.98,88.98,0,89.40
255,7,89.68,89.68,89.68,89.68,6,89.46
255,7,89.54,89.54,89.54,89.54,1050,89.48
255,7,89.64,89.64,89.64,89.64,0,89.49
255,7,89.59,89.59,89.59,89.59,0,89.50
255,7,89.51,89.51,89.51,89.51,0,89.51
255,9,89.47,89.47,89.47,89.47,0,89.52
255,9,89.29,89.29,89.29,89.29,885,89.53
255,10,89.46,89.46,89.46,89.46,300,89.54
255,11,89.50,89.50,89.50,89.50,0,89.55
255,13,89.50,89.50,89.50,89.50,2598,89.56
255,13,89.46,89.46,89.46,89.46,0,89.57
255,14,89.43,89.43,89.43,89.43,7800,89.59
255,14,89.43,89.43,89.43,89.43,0,89.60
255,14,89.40,89.40,89.40,89.40,153,89.61
255,14,89.34,89.34,89.34,89.34,0,89.62
255,14,89.31,89.31,89.31,89.31,22,89.63
